depth	min	max	median	mean
0	9270	11700	10629	10579
10	9497	11900	10826	10784
20	9743	12075	11038	10990
30	9975	12260	11240	11197
40	10199	12439	11440	11403
50	10430	12624	11645	11606
60	10667	12802	11847	11812
70	10892	12995	12046	12015
80	11127	13181	12258	12223
90	11364	13366	12463	12428
100	11594	13541	12667	12631
110	11851	13712	12865	12835
120	12104	13877	13073	13040
130	12372	14055	13281	13251
140	12632	14249	13523	13491
145	12771	14337	13645	13611
150	12907	14429	13760	13727
160	13185	14627	13996	13968
170	13501	14796	14237	14208
175	13647	14891	14353	14326
185	13947	15063	14592	14565
190	14082	15141	14706	14683
200	14411	15303	14937	14918
210	14764	15461	15170	15156
210.1	14770	15463	15171	15158
220	15091	15609	15360	15359
220.1	15092	15610	15362	15361
230	15231	15818	15519	15520
230.1	15232	15820	15521	15521
240	15355	16008	15670	15672
250	15478	16195	15823	15829
260	15614	16389	15982	15987
270	15742	16564	16137	16141
280	15876	16729	16294	16296
290	16014	16893	16450	16448
300	16156	17045	16600	16603
310	16340	17242	16789	16792
310.1	16344	17244	16791	16794
320	16575	17454	16995	17003
330	16826	17626	17192	17211
335	16958	17712	17285	17315
340	17094	17785	17366	17419
345	17226	17989	17522	17569
350	17354	18328	17742	17769
360	17614	18855	18157	18175
370	17920	19322	18564	18580
380	18249	19737	18980	18983
390	18598	20125	19389	19384
400	18941	20485	19795	19785
400.1	18943	20490	19798	19788
405	19056	20614	19933	19911
