depth,min,max,median,mean,Alnus incana-type,Alnus viridis-type,Ambrosia/Iva,Arceuthobium,Asteroideae undiff.,Betula,Carya,Castanea,Cephalanthus occidentalis,Corylus,Cyperaceae,Equisetum,Fagus grandifolia,Indeterminable,Juglans cinerea,Juglans nigra,Liquidambar styraciflua,Lycopodiaceae undiff.,Nuphar,Nyssa,Osmunda regalis/O. claytoniana,Ostrya/Carpinus,Pinus undiff.,Platanus occidentalis,Poaceae,Populus,Quercus,Salix,Tsuga,Typha angustifolia/Sparganium,Unknown,Ericaceae,Fabaceae,Fraxinus undiff.,Osmundastrum cinnamomeum,Persicaria lapathifolia-type,Pinus subg. Pinus,Pinus subg. Strobus,Pteridium,Acer rubrum,Acer saccharum,Apiaceae,Brassicaceae,Ilex,Picea undiff.,Sagittaria,Ulmus,Cornus,Lamiaceae,Thalictrum,Tilia,Unknown (trilete) undiff.,Abies,Acer negundo,Amaranthaceae,Fraxinus pennsylvanica-type,Urticaceae,Nymphaea,Polypodiaceae,Fraxinus nigra-type,Plantago,Diospyros,Artemisia,Rhamnaceae,Acer undiff.,Botrychium,Sphagnum,Cupressaceae,Diphasiastrum complanatum,Alnus undiff.,Caryophyllaceae,Epilobium,Huperzia lucidula,Isoëtes lacustris,Lycopodium annotinum,Lycopodium obscurum,Polemonium,Coniferae undiff.,Huperzia selago,Sanguisorba canadensis,Larix,Menyanthes trifoliata,Picea glauca,Picea mariana,Rosaceae undiff.,Campanula,Cichorioideae,Selaginella selaginoides,Galium,Stuckenia vaginata-type,Drosera
0,9270,11700,10629,10579,0.242718447,0.242718447,3.398058252,0.242718447,1.699029126,1.699029126,3.398058252,0.970873786,2.912621359,0.485436893,2.184466019,0.72815534,0.485436893,0.485436893,0.242718447,0.485436893,0.242718447,0.485436893,1.45631068,0.242718447,1.45631068,0.485436893,20.14563107,0.242718447,0.485436893,0.242718447,50.48543689,2.427184466,0.242718447,0.242718447,1.213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9497,11900,10826,10784,0,0.220750552,1.545253863,0,0.441501104,4.635761589,2.649006623,5.298013245,15.67328918,0.220750552,1.103752759,0.441501104,0.441501104,0,0.662251656,0,0,0,0.441501104,0,0,1.103752759,7.06401766,0,0,0,45.91611479,5.298013245,0.220750552,0,1.545253863,0.220750552,0.441501104,0.441501104,1.103752759,0.220750552,1.545253863,0.883002208,0.220750552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9743,12075,11038,10990,0.230414747,0.230414747,0.921658986,0,0.230414747,2.764976959,2.534562212,2.073732719,13.82488479,0.230414747,2.764976959,0.230414747,0.69124424,0,0,0.230414747,0,0.460829493,0.460829493,0,0,0.460829493,6.451612903,0.230414747,0.460829493,0.230414747,50.46082949,5.99078341,0.69124424,0.460829493,1.382488479,0,0,0.460829493,0.460829493,0,0.69124424,0.460829493,0,0.460829493,0.230414747,0.230414747,0.460829493,0.230414747,0.460829493,0.69124424,0.460829493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9975,12260,11240,11197,0,0,0.43956044,0,0,1.538461538,2.637362637,2.417582418,24.3956044,0,1.318681319,0.43956044,0.21978022,0,0.21978022,0,0.21978022,0.43956044,0.43956044,0.21978022,0.21978022,0.659340659,4.835164835,0.659340659,0,1.098901099,41.97802198,8.571428571,0.21978022,0,0.21978022,0,0,0,0.21978022,0,0.659340659,0,0,0.659340659,0.21978022,0.21978022,0.21978022,0.21978022,0.21978022,0,0.21978022,0.659340659,0.43956044,0.43956044,0.21978022,1.978021978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10199,12439,11440,11403,0,0,0.854700855,0,0.854700855,2.279202279,4.273504274,5.698005698,9.401709402,0.284900285,3.133903134,0.284900285,0,0,0,0.284900285,0.284900285,0,0,0.56980057,1.13960114,0.56980057,6.837606838,0,1.709401709,0.284900285,47.86324786,4.843304843,0.284900285,0,2.849002849,0.284900285,0.284900285,0.284900285,0.56980057,0.284900285,0,1.424501425,0.284900285,0.284900285,0,0.284900285,0,0.284900285,0.284900285,0,0,0,0,0.284900285,0,0,0.284900285,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10430,12624,11645,11606,0.263157895,0,1.052631579,0,0.526315789,2.368421053,3.684210526,2.368421053,8.947368421,0,3.947368421,0.263157895,0,0,0.263157895,0,0,0,0.789473684,1.315789474,0.263157895,0,7.368421053,0,1.578947368,1.578947368,50.26315789,3.421052632,0,0,0.526315789,0.263157895,0,0,1.315789474,1.052631579,1.052631579,1.315789474,1.842105263,0,0,0,0,0,0.526315789,0,0,0,0,0.263157895,0.263157895,0,0.526315789,0,0.263157895,0.263157895,0.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10667,12802,11847,11812,0,0,1.020408163,0,0.255102041,3.571428571,4.336734694,1.020408163,10.96938776,0,2.551020408,0.255102041,0.255102041,0,0,0,0.255102041,0,2.295918367,0.510204082,1.020408163,1.275510204,7.397959184,0,2.040816327,0,49.48979592,5.867346939,0,0,2.551020408,0,0,0,0,0.255102041,0,1.275510204,0.255102041,0,0,0,0,0.255102041,0,0,0,0,0,0,0,0,0,0.255102041,0,0,0,0.510204082,0.255102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,10892,12995,12046,12015,0.20242915,0,1.012145749,0,0,0.809716599,5.870445344,0,13.36032389,0.4048583,0.20242915,0.4048583,0.809716599,0,0.20242915,0,0,0.20242915,1.214574899,1.619433198,0.20242915,0.4048583,9.109311741,0.607287449,0.607287449,0.607287449,45.5465587,12.34817814,1.012145749,0,0,0,0,0,0.4048583,0.809716599,0.4048583,0.4048583,0,0.20242915,0,0,0,0.20242915,0.20242915,0,0,0,0,0.20242915,0.20242915,0,0,0,0,0,0,0,0,0.20242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,11127,13181,12258,12223,0.371057514,0,0,0,0.927643785,1.669758813,4.638218924,0.185528757,10.7606679,0,0.371057514,0.742115028,0.556586271,0,0,0,0,0,0.742115028,1.669758813,0.185528757,0.185528757,6.493506494,0,4.081632653,0.371057514,41.92949907,16.14100186,2.040816327,0,1.484230056,0.185528757,0.185528757,0,0.371057514,1.484230056,0.556586271,0,0,0,0,0,0,0.742115028,0,0,0,0,0,0.371057514,0.185528757,0.185528757,0,0,0,0,0,0,0,0,0.185528757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,11364,13366,12463,12428,0,0,0.634249471,0,0.21141649,1.691331924,6.131078224,0.21141649,4.016913319,0.21141649,0.21141649,0.21141649,1.691331924,0,0,0,0,0,0.21141649,1.057082452,0,0.21141649,9.302325581,0,2.748414376,0.422832981,53.06553911,8.033826638,3.382663848,0,1.268498943,0,0,0,0.634249471,1.268498943,0,0.21141649,0,0,0.21141649,0,0,0.634249471,0,0,0.422832981,0,0,0,0.21141649,0,0,0,0,0,0,0,0.422832981,0.422832981,0.21141649,0.422832981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,11594,13541,12667,12631,0,0,0,0,0,0.836820084,3.347280335,0,10.041841,0,0.418410042,0.209205021,1.255230126,0,0.418410042,0,0,0,1.255230126,2.30125523,0,0,7.322175732,0,1.046025105,0.209205021,61.29707113,2.092050209,3.347280335,0.418410042,0.836820084,0,0,0,0,0.209205021,0.627615063,0,0.209205021,0.418410042,0,0,0,0.209205021,0,0,0.209205021,0,0,0,0.209205021,0,0,0,0,0,0,0,0,0,0,1.255230126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,11851,13712,12865,12835,0,0,0.854700855,0,0.854700855,1.068376068,1.709401709,0.213675214,19.65811966,0,0.854700855,0,0.641025641,0,0,0,0,0,0.641025641,2.564102564,0.213675214,0.213675214,1.495726496,0.213675214,0.641025641,0.213675214,49.35897436,8.547008547,2.136752137,0,1.495726496,0,0,0,0,0.427350427,0.641025641,0,0,0.427350427,0,0,0,0.427350427,0,0,0.213675214,0.427350427,0,0.213675214,0.213675214,0,0,0,0.213675214,0,0,0.213675214,2.564102564,0,0,0,0.213675214,0.213675214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
