depth	min	max	median	mean
15	13085	14698	14089	14044
20	13119	14719	14112	14069
25	13144	14747	14137	14094
35	13187	14803	14190	14145
45	13244	14850	14238	14196
55	13291	14901	14288	14246
60	13314	14926	14312	14271
65	13343	14952	14339	14297
75	13394	14998	14391	14347
80	13418	15027	14416	14373
90	13469	15068	14467	14423
95	13492	15093	14493	14449
100	13518	15119	14518	14474
105	13544	15144	14541	14499
110	13574	15164	14566	14525
115	13599	15184	14595	14551
120	13628	15210	14620	14576
125	13652	15236	14643	14601
130	13676	15257	14670	14626
140	13728	15306	14719	14677
150	13789	15354	14772	14730
160	13843	15408	14824	14783
180	13970	15514	14931	14889
200	14087	15616	15036	14996
220	14208	15722	15142	15104
240	14319	15831	15247	15210
260	14436	15933	15353	15317
280	14560	16035	15460	15424
300	14681	16139	15564	15531
320	14796	16245	15670	15638
340	14919	16339	15773	15744
360	15030	16443	15878	15851
380	15152	16548	15983	15958
390	15213	16602	16038	16011
400	15268	16651	16090	16064
420	15377	16764	16197	16174
440	15481	16881	16311	16284
460	15583	16994	16423	16397
480	15697	17105	16539	16509
500	15792	17228	16651	16622
520	15907	17346	16765	16734
540	16010	17450	16879	16846
560	16112	17558	16993	16958
580	16208	17662	17105	17069
600	16320	17775	17217	17180
620	16421	17891	17333	17293
640	16525	17996	17451	17404
660	16624	18103	17561	17514
680	16722	18213	17672	17625
700	16834	18329	17791	17736
710	16881	18385	17851	17792
720	16938	18439	17909	17848
740	17033	18547	18008	17948
760	17128	18658	18107	18050
780	17225	18757	18207	18151
800	17326	18862	18305	18252
