depth	min	max	median	mean
30	-3	4061	1334	1502
35	290	4458	1802	1951
40	618	4808	2275	2395
45	983	5228	2738	2836
50	1350	5686	3185	3278
55	1721	6086	3650	3724
60	2088	6483	4120	4163
65	2554	6875	4561	4604
70	2952	7266	5008	5036
75	3407	7636	5466	5479
80	3858	8019	5929	5931
85	4308	8383	6379	6376
90	4746	8755	6815	6809
100	5760	9472	7715	7693
105	6264	9827	8155	8130
110	6775	10242	8590	8568
115	7272	10583	9027	9002
120	7854	10929	9479	9449
125	8460	11262	9901	9877
130	9024	11618	10325	10319
135	9763	12035	10741	10771
140	10481	12496	11226	11293
145	10930	13333	11915	11975
150	11420	14106	12668	12694
155	12011	14728	13399	13389
160	12725	15230	14109	14083
165	13879	15667	14818	14793
170	14211	16658	15282	15309
175	14539	17471	15757	15818
180	14844	18192	16256	16324
185	15209	18859	16755	16832
190	15554	19579	17267	17340
195	15895	20227	17769	17850
200	16299	20932	18287	18368
205	16700	21569	18787	18884
210	17050	22248	19301	19400
