depth,min,max,median,mean,Acer,Alnus,Ambrosia-type,Asteroideae undiff.,Betula,Brasenia schreberi,Carya,Castanea,Corylus,Ericales,Fagus,Fraxinus,Ilex,Juglans,Nyssa,Osmunda,Picea,Pinus,Poaceae,Potamogetonaceae,Quercus,Sphagnum,Tsuga,Ulmus,Cyperaceae,Magnolia,Pteridium-type,Tilia,Cornus,Nymphaea,Salix,Cephalanthus,Dryopteris-type,Urticaceae,Nuphar,Viburnum,Liriodendron,Polygonum sensu lato,Amaranthaceae,Myriophyllum,Lycopodium-type,Typha/Sparganium,Utricularia,Ostrya/Carpinus,Botrychium,Sanguisorba,Isoëtes,Apiaceae,Abies,Ranunculaceae undiff.,Campanula,Thalictrum,Artemisia,Caryophyllaceae,Epilobium,Platanus,Selaginella,Polemonium
30,-3,4061,1334,1502,1.265822785,2.53164557,0.632911392,0.632911392,3.481012658,3.164556962,4.113924051,0.949367089,0.316455696,0.949367089,0.316455696,0.632911392,0.316455696,0.316455696,0.316455696,0.949367089,0.316455696,33.2278481,0.316455696,0.632911392,43.35443038,0.316455696,0.316455696,0.632911392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,290,4458,1802,1951,0.317460317,3.174603175,0,0.317460317,3.492063492,2.857142857,4.126984127,2.222222222,0,0,0,0.317460317,0,0.634920635,0.952380952,0.317460317,0,33.96825397,0.317460317,0.317460317,42.85714286,0,0.317460317,0,2.222222222,0.317460317,0.317460317,0.634920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,618,4808,2275,2395,0,5.34591195,0,0.314465409,2.201257862,3.459119497,5.974842767,1.257861635,0.314465409,0,0.628930818,0.628930818,0,0.943396226,0.314465409,0,0,27.67295597,0,0,48.11320755,0.628930818,0.314465409,0,0.628930818,0,0,0,0.314465409,0.943396226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,983,5228,2738,2836,0,4.643962848,0.309597523,0.309597523,0.619195046,3.715170279,3.405572755,1.547987616,0,0.309597523,0,0,0,0.619195046,0,1.547987616,0,27.24458204,0.619195046,0.92879257,52.63157895,0,0,0,1.238390093,0,0,0,0,0,0.309597523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1350,5686,3185,3278,0,5.919003115,0,0.62305296,1.869158879,3.115264798,2.180685358,1.246105919,0.31152648,0,0.31152648,0,0,0.62305296,0.934579439,1.869158879,0,26.47975078,0.934579439,0.31152648,51.40186916,0.31152648,0,0,0.934579439,0,0,0,0,0,0.31152648,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1721,6086,3650,3724,0.307692308,6.153846154,0.615384615,0,2.769230769,4.615384615,5.846153846,0.615384615,0,0,0.307692308,0.307692308,0,0.307692308,0.923076923,1.538461538,0,24.30769231,0.615384615,0.307692308,48.61538462,0,0,0.307692308,0.615384615,0.307692308,0,0,0,0,0,0.307692308,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2088,6483,4120,4163,0.316455696,4.746835443,0.316455696,0,2.848101266,3.164556962,5.063291139,2.215189873,0.316455696,0,0.632911392,0,0,0.316455696,0.632911392,0.316455696,0.632911392,30.37974684,0.316455696,0,45.88607595,0.316455696,0.632911392,0,0.316455696,0,0.316455696,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2554,6875,4561,4604,10.56910569,6.233062331,0.27100271,0.54200542,1.08401084,5.420054201,4.06504065,2.16802168,0.54200542,0,0.27100271,0.27100271,0,0,0.54200542,2.16802168,0.27100271,20.05420054,0.54200542,0,42.54742547,0,0,0,0.81300813,0.27100271,0,0,0,0,0,0.81300813,0,0,0.27100271,0.27100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2952,7266,5008,5036,0,5.900621118,0.931677019,0,3.726708075,5.279503106,3.726708075,0.621118012,0.310559006,0,0.310559006,0,0,0.621118012,0.621118012,0.931677019,0.310559006,23.29192547,0.621118012,0,49.37888199,0,0.931677019,0.931677019,0.621118012,0,0,0,0,0,0,0.310559006,0,0,0,0,0.310559006,0.310559006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3407,7636,5466,5479,0,3.067484663,0.920245399,0,1.226993865,5.214723926,9.202453988,0.613496933,0,0,0.306748466,0,0,1.226993865,0.613496933,1.226993865,0,18.71165644,1.226993865,0.613496933,52.45398773,0,1.226993865,0.306748466,1.226993865,0,0,0.306748466,0,0,0,0,0,0,0,0,0,0,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3858,8019,5929,5931,0,4.229607251,0.302114804,0,0.604229607,6.042296073,3.021148036,0.906344411,0.604229607,0,0.604229607,0,0,0.604229607,0,0.906344411,0,21.14803625,0.302114804,0,56.49546828,0,1.208459215,0.302114804,2.114803625,0.302114804,0,0,0,0,0,0.302114804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4308,8383,6379,6376,0,3.426791277,0.62305296,0.62305296,1.246105919,4.361370717,4.361370717,1.869158879,0.934579439,0,0.934579439,0.31152648,0,0.934579439,0.31152648,0.31152648,0.31152648,8.099688474,1.869158879,0,66.04361371,0,1.246105919,0,0.934579439,0,0,0,0,0,0,0.934579439,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4746,8755,6815,6809,0,5.625,0.625,0.3125,1.5625,2.5,3.75,2.5,0.9375,0,0,0,0,0,0.3125,0,0.3125,8.4375,0.9375,0,66.875,0.3125,0.625,0,0.3125,0,0,0,0,0,0.625,2.8125,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5760,9472,7715,7693,0,6.097560976,0.304878049,0.914634146,0.609756098,2.43902439,5.487804878,2.134146341,0.914634146,0,0.304878049,0,0,0.304878049,0.609756098,0.914634146,0.914634146,7.926829268,0,0,62.80487805,0.304878049,1.829268293,0,0,0,0,0,0,0,0,4.87804878,0,0,0,0,0,0,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6264,9827,8155,8130,0,3.458213256,0.864553314,1.44092219,0.576368876,7.204610951,1.729106628,0.576368876,0.288184438,0,0.288184438,0.288184438,0,0.288184438,1.44092219,0.288184438,1.44092219,10.08645533,2.305475504,0.288184438,58.50144092,0,2.305475504,0.576368876,2.305475504,0,0,0,0,0,0,2.305475504,0,0,0,0,0,0,0,0,0,0.864553314,0.288184438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6775,10242,8590,8568,0.292397661,0.584795322,0.877192982,5.263157895,1.169590643,4.093567251,2.046783626,0.877192982,1.169590643,0,0.584795322,0,0,0,0,0,4.678362573,9.941520468,3.216374269,0,52.04678363,3.216374269,3.216374269,0.584795322,2.631578947,0,0.584795322,0.292397661,0,0,0.292397661,0.584795322,0.877192982,0,0,0,0,0.292397661,0,0,0.292397661,0,0,0.292397661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7272,10583,9027,9002,0.611620795,0,1.22324159,3.975535168,0.611620795,0.611620795,1.22324159,0.611620795,0,0,0,0.305810398,0,0,0,0.305810398,7.033639144,14.06727829,2.44648318,0.305810398,59.93883792,1.22324159,1.529051988,0.611620795,0.611620795,0,0,0,0.305810398,0,0,1.529051988,0,0,0,0,0,0,0.305810398,0,0,0,0,0,0.305810398,0.305810398,0,0,0,0,0,0,0,0,0,0,0,0
120,7854,10929,9479,9449,0,0.611620795,0,3.363914373,0.917431193,4.281345566,1.529051988,1.834862385,1.834862385,0,1.834862385,0,0,0.305810398,0,0.305810398,11.00917431,12.8440367,0.917431193,0.305810398,49.8470948,0.611620795,4.281345566,0.305810398,0.611620795,0,0.611620795,0,0,0,0,0.305810398,0.305810398,0,0.305810398,0,0,0,0,0.611620795,0,0,0,0,0,0,0.305810398,0,0,0,0,0,0,0,0,0,0,0
125,8460,11262,9901,9877,1.201201201,3.003003003,0,1.801801802,3.003003003,0.3003003,0.900900901,0.3003003,0.900900901,0,0,0,0,0.3003003,0,0,11.71171171,20.12012012,0,0,44.74474474,3.603603604,1.801801802,0,0,0,1.201201201,0,0,0,0,0.900900901,0.3003003,0,0,0,0,0,0,0,2.102102102,0,0,0,1.501501502,0,0,0.3003003,0,0,0,0,0,0,0,0,0,0
130,9024,11618,10325,10319,0,0.609756098,0,0,2.134146341,2.134146341,2.134146341,0,0.609756098,0.609756098,0,0,0,0.609756098,0,1.829268293,11.58536585,20.12195122,0.609756098,0,47.25609756,1.524390244,3.658536585,0.609756098,1.219512195,0,0,0,0,0,0,1.219512195,0,0,0.304878049,0,0,0.304878049,0,0,0,0.609756098,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9763,12035,10741,10771,0.284090909,5.113636364,0,3.693181818,0.284090909,0.852272727,0,0,3.693181818,0.284090909,0,0,0,0,0,0.568181818,16.19318182,47.44318182,0,0,6.534090909,5.681818182,0.852272727,0,0.852272727,0,0.568181818,0,0.284090909,0,0,0.284090909,3.977272727,0,0,0,0,0,0,0.852272727,0.284090909,0.284090909,0,0,0.568181818,0,0.284090909,0,0.284090909,0,0,0,0,0,0,0,0,0
140,10481,12496,11226,11293,0,2.402402402,0,4.804804805,1.501501502,0.900900901,0,0,2.702702703,0.3003003,0.3003003,0,0,0,0,0,20.42042042,48.64864865,0.600600601,0,6.606606607,0.3003003,0,0,3.303303303,0,0,0,0,0,0.600600601,0,0.3003003,0,0,0,0,0,0,3.303303303,0.3003003,0.600600601,0,0,0.3003003,0,0.900900901,0.600600601,0.3003003,0,0,0,0,0,0,0,0,0
