depth	min	max	median	mean
0	12569	13268	12942	12934
5	12595	13288	12968	12959
10	12625	13310	12993	12985
15	12651	13334	13018	13010
20	12686	13357	13043	13036
25	12711	13379	13069	13061
30	12738	13403	13094	13087
35	12756	13426	13120	13111
40	12789	13450	13147	13137
45	12820	13471	13171	13163
50	12845	13494	13198	13188
52.5	12859	13503	13211	13200
55	12870	13514	13223	13213
57.5	12886	13526	13235	13225
60	12899	13541	13247	13238
70	12954	13583	13298	13289
80	13015	13631	13350	13342
90	13073	13678	13407	13397
100	13137	13731	13463	13452
110	13196	13777	13517	13507
120	13259	13821	13571	13562
130	13329	13869	13626	13617
135	13360	13896	13655	13645
140	13390	13917	13684	13672
145	13424	13939	13713	13699
150	13457	13967	13741	13727
155	13484	13987	13767	13752
160	13512	14010	13790	13777
170	13557	14059	13838	13826
180	13604	14108	13886	13874
190	13657	14152	13932	13923
200	13707	14201	13978	13971
210	13762	14250	14026	14020
220	13812	14301	14073	14069
230	13865	14350	14120	14118
235	13887	14373	14143	14141
240	13909	14394	14165	14162
245	13933	14417	14186	14184
252	13971	14449	14216	14214
255	13982	14462	14228	14226
265	14028	14507	14272	14270
275	14071	14549	14315	14315
285	14112	14600	14360	14360
295	14156	14646	14404	14404
305	14205	14691	14447	14449
315	14250	14742	14491	14494
325	14296	14784	14535	14538
345	14387	14876	14621	14627
365	14478	14971	14705	14716
385	14567	15063	14789	14804
405	14661	15167	14887	14900
415	14709	15218	14937	14948
