depth	min	max	median	mean
20	-59	1403	255	373
25	85	1933	702	788
30	283	2426	1123	1186
35	544	2906	1559	1599
40	838	3404	1970	2014
50	1534	4228	2782	2813
55	1881	4610	3222	3228
60	2266	5013	3632	3630
65	2645	5391	4059	4046
70	3006	5751	4462	4443
80	3843	6426	5269	5235
90	4732	7011	6096	6048
100	5849	7513	6921	6860
105	6514	7682	7330	7267
107.5	7207	7782	7536	7525
110	7495	8160	7769	7784
115	7854	11120	8861	9027
120	8488	12800	10222	10342
125	9468	13911	11666	11664
130	10630	14862	12934	12900
140	14664	16184	15468	15441
