depth	min	max	median	mean
10	8574	9952	9271	9265
15	8696	10050	9371	9368
20	8821	10127	9471	9468
25	8944	10227	9571	9571
30	9073	10312	9673	9671
35	9199	10406	9775	9773
40	9335	10484	9872	9873
45	9473	10593	9968	9974
50	9614	10691	10063	10073
55	9733	10778	10162	10173
60	9876	10869	10255	10274
65	10042	10953	10349	10374
70	10186	11053	10458	10483
75	10275	11162	10580	10608
80	10364	11274	10710	10734
90	10567	11535	10974	10992
100	10784	11785	11238	11252
120	11245	12263	11762	11762
140	11801	12704	12286	12277
160	12443	13077	12803	12793
170	12789	13287	13033	13031
175	12851	13453	13131	13133
