depth	min	max	median	mean
20	-39	1440	475	529
40	55	1514	569	623
60	141	1601	669	720
80	224	1678	768	816
100	321	1773	867	910
120	420	1859	961	1007
136	523	1939	1070	1112
155	607	2009	1161	1199
175	705	2098	1257	1295
195	797	2181	1358	1391
215	899	2266	1452	1486
220	899	2266	1452	1486
240	1014	2348	1547	1583
260	1114	2428	1646	1679
280	1211	2512	1741	1776
295	1314	2590	1843	1873
320	1416	2679	1942	1970
340	1529	2755	2039	2065
360	1632	2835	2136	2162
380	1742	2908	2236	2259
395	1850	2986	2334	2355
420	1973	3063	2432	2452
430	2027	3107	2479	2501
440	2085	3146	2526	2549
460	2203	3222	2623	2645
470	2259	3250	2668	2692
480	2316	3289	2718	2741
490	2375	3328	2764	2789
498	2472	3382	2843	2867
510	2504	3398	2860	2885
520	2572	3432	2906	2933
530	2639	3467	2956	2982
540	2694	3544	3023	3047
560	2800	3702	3158	3185
570	2857	3779	3229	3253
580	2914	3845	3296	3320
590	2975	3919	3367	3390
598	3069	4061	3475	3499
610	3099	4079	3507	3527
620	3156	4142	3571	3594
640	3283	4288	3711	3730
660	3413	4423	3846	3864
680	3544	4560	3981	4000
690	3603	4618	4050	4065
695	3672	4683	4116	4133
710	3746	4748	4184	4200
720	3818	4813	4254	4269
740	3963	4946	4391	4406
760	4115	5073	4526	4543
780	4274	5188	4660	4677
797	4448	5327	4817	4838
820	4592	5421	4920	4941
840	4678	5523	5018	5039
850	4722	5576	5068	5088
860	4767	5625	5119	5137
870	4812	5675	5167	5187
880	4854	5730	5217	5236
890	4899	5792	5267	5286
898	4966	5869	5344	5363
920	5038	5938	5413	5433
940	5137	6036	5511	5531
960	5239	6139	5612	5629
980	5343	6231	5709	5729
998	5464	6363	5837	5855
1020	5542	6422	5900	5922
1040	5648	6523	6000	6021
1060	5768	6627	6111	6133
1070	5826	6685	6176	6197
1080	5888	6752	6239	6261
1090	5949	6815	6302	6323
1098	6036	6928	6404	6423
1110	6076	6930	6425	6448
1120	6153	6992	6489	6511
1130	6220	7056	6549	6574
1140	6303	7115	6615	6638
1148	6419	7208	6716	6740
1160	6439	7240	6746	6769
1170	6493	7325	6812	6838
1180	6546	7397	6881	6906
1190	6599	7472	6948	6974
1195	6653	7542	7012	7040
1210	6706	7626	7087	7110
1220	6764	7706	7154	7179
1230	6823	7790	7225	7247
1235	6884	7863	7290	7313
1240	6884	7863	7290	7313
1245	6941	7939	7356	7381
1250	6941	7939	7356	7381
1255	6987	7994	7409	7434
1260	6987	7994	7409	7434
1280	7077	8121	7515	7538
1302	7185	8245	7638	7660
1320	7254	8336	7721	7741
1340	7336	8460	7819	7841
1360	7420	8582	7921	7941
