age_ka,Dust conc [microg/kg]
10229.2,60.54
10236.9,73.72
10244.8,52.93
10252.5,76.47
10260.1,56.08
10267.5,62.57
10274.8,72.74
10282,85.13
10289.5,80.17
10297.4,74.65
10305.6,
10313.7,54.58
10321.7,54.48
10329.8,54.95
10337.9,71.91
10346.2,51.88
10354.5,50.74
10362.8,63.08
10371.1,50.54
10379.1,59.64
10387,47.09
10395.2,59.41
10403.5,58.06
10411.9,52.28
10420.1,52.42
10428.3,51.65
10436.3,60.66
10444.3,62.04
10452.3,45.99
10460.6,42.71
10468.9,47.53
10477.2,42.17
10485.5,44.95
10493.8,47.07
10501.9,41.48
10509.9,44.5
10518,47.02
10526.1,46.95
10534.2,52.67
10542.4,48.31
10550.7,49.9
10559.2,56.49
10567.7,57.12
10576.2,63.48
10584.5,44.66
10592.8,71.89
10601.3,48.45
10609.6,49.66
10617.7,47.28
10625.7,45.15
10634,61.79
10642.6,76.39
10651.1,53.22
10659.3,60.82
10667.5,51.16
10676,81.32
10684.7,77.2
10693.3,82.65
10701.6,52.34
10709.9,56.13
10718.4,47.84
10727.1,45.11
10736,42.49
10745.1,58.28
10754.1,47.35
10763,49.49
10771.8,54.86
10780.5,65.9
10789,80.84
10797.2,51.84
10805.2,57.58
10813.4,61.78
10821.6,52.21
10830.1,65.59
10839.1,77.53
10848.2,69.39
10857.3,72.66
10866.6,49.61
10876.3,79.79
10886.1,57.99
10895.3,66.07
10903.8,63.33
10912.8,67.5
10922.7,72.49
10932.3,55.79
10941.1,57.31
10949.8,58.93
10958.5,82.1
10967.4,56.07
10976.3,73.17
10985.4,61.83
10994.5,58.63
11003.4,60.47
11012.4,58.47
11021.6,54.5
11030.7,52.29
11039.9,53.82
11049.1,49.86
11058.2,58.32
11067.3,54.7
11076.1,69.16
11084.8,68.13
11094,49.93
11103.8,66.21
11113.5,80.92
11122.8,55.99
11131.9,74.12
11141,72.51
11150.1,69.64
11159.6,62.8
11169.2,47.9
11178.8,61.93
11188.3,56.35
11197.5,60.29
11206.4,50.56
