Core Depth,depth_adj,sed_rate (years/ 1 cm),age_extrapolated,unit_desc_long,unit_desc,Sect Depth,mag_sus,nat_gam,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,LE,Mg,Al,Si,P,S,Cl,K,Ca
0,0,81,9408,O-rich,OT,0,-0.5,31.2,136.96,0,0,0,1710.34,0,0,0,0,0,14.14,0,0,0,0,0,0,2.82,0,942498.38,0,1890.07,9620.79,0,0,41504.37,1661.32,960.8
0.02,0.02,81,9571,O-rich,OT,2,-0.8,32.8,0,0,0,0,1994.59,0,0,0,0,0,17.92,0,0,0,0,0,0,5.16,0,940406.33,0,1847.08,3865.87,0,0,49873.35,1055.41,934.29
0.04,0.04,81,9734,O-rich,OT,4,-1.3,32.1,0,0,0,0,2237.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943115.31,7792.03,1335.91,3041.49,0,170.05,40127.57,1117.94,1062.01
0.06,0.06,81,9897,B/G Mineral above buried soil,BG,6,-3,33,1289.33,124.29,0,87.27,10074.54,86.02,0,0,25.64,0,83.17,0,0,74.26,73.77,121.59,0,3.98,0,903086.57,11301.03,1233.59,5333.6,0,0,60035.76,5390.31,1575.28
0.08,0.08,81,10060,B/G Mineral above buried soil,BG,8,-1.9,32.2,1647.03,117.26,49.3,88.94,10987.12,0,12.94,0,28.53,0,92.62,0,0,101.78,111.07,163,0,8.32,0,903691.1,0,4722.17,25713.35,0,243.21,43347.99,7363.98,1510.27
0.1,0.1,81,10223,B/G Mineral above buried soil,BG,10,-0.2,34.7,2172.34,298.95,61.4,144.92,15970.95,0,21.6,13.62,52.33,0,146.29,0,0,149.04,157.83,243.9,0,5.37,0,878940.4,0,7017.71,49677.8,0,205.55,32132.2,10863.56,1724.23
0.12,0.12,81,10386,B/G Mineral above buried soil,BG,12,0.1,34,2192.37,181.34,83.41,124.79,16113.72,0,28.22,14,40.07,0,147.85,0,111.82,142.16,169.76,249.81,0,5.25,11.61,878749.41,0,7877,48004.79,0,279.76,33132.36,10624.65,1715.84
0.14,0.14,81,10549,B/G Mineral above buried soil,BG,14,0.1,33.7,2257.98,301.97,71.07,139.9,17205.75,136.79,20.41,20.44,46.29,0,159.61,0,106.15,150.91,164.99,266.63,0,9.41,14.03,870677.81,8708.55,5733.15,35534.1,0,328.39,46871.99,9286.91,1786.79
0.16,0.16,81,10712,B/G Mineral above buried soil,BG,16,2.2,33.9,1860.95,198.57,59.62,113.49,15277.64,0,23.53,17.7,38.12,0,123.26,0,0,74.4,67.18,110.44,0,9.17,13.69,880803.29,11154.61,3054.91,17020.54,0,387.64,61840.78,5973.87,1776.6
0.18,0.18,81,10875,B/G Mineral above buried soil,BG,18,6.7,33.8,2569.66,322.8,0,150.17,20224.24,0,25.35,20.92,60.63,0,184.1,0,126.55,188.16,198.47,292.77,0,8.26,16.26,867389.32,0,5902.75,38966.61,0,314.73,48411.67,12421.7,2204.87
