depth,strat,min,max,median,mean,Acer rubrum,Alnus incana-type,Ambrosia-type,Betula,Carya,Castanea,Cyperaceae,Ericaceae,Fraxinus pennsylvanica-type,Ilex,Indeterminable,Juglans nigra,Nyssa,Osmunda,Ostrya/Carpinus,Pinus,Platanus,Poaceae (Cerealia),Poaceae undiff.,Pteridium-type,Quercus,Rhamnaceae/Vitaceae,Rubiaceae,Sphagnum,Unknown,Acer saccharum-type,Alnus viridis-type,Apiaceae,Artemisia,Caprifoliaceae sensu lato,Corylus,Dryopteris-type,Fagus,Tsuga,Asteroideae undiff.,Ulmus,Abies,Fraxinus nigra-type,Tilia,Picea,Salix,Anacardiaceae,Myrica,Sagittaria,Lycopodium-type,Thalictrum,Sparganium-type,Larix,Sanguisorba,Cupressaceae
0,gray silt,-69,194,-10,10,0.558659218,0.279329609,3.910614525,1.955307263,1.396648045,2.51396648,3.351955307,0.279329609,0.279329609,0.279329609,0.279329609,0.279329609,2.51396648,0.279329609,0.279329609,16.20111732,0.558659218,1.675977654,2.793296089,1.117318436,41.89944134,0.279329609,16.48044693,0.279329609,0.279329609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,gray silt,-33,321,103,115,1.041666667,1.041666667,2.864583333,2.864583333,2.083333333,4.6875,2.604166667,0,0,0.520833333,0.78125,0.520833333,2.34375,0,0.260416667,11.71875,0.520833333,0.260416667,3.645833333,0.260416667,36.45833333,0.260416667,21.875,0,0,1.041666667,0.260416667,0.260416667,0.260416667,0.260416667,0.260416667,0.260416667,0.260416667,0.520833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,gray silt,32,414,213,217,0.656455142,0,3.282275711,1.094091904,1.750547046,3.938730853,1.312910284,0,0.437636761,0.437636761,0,0,0.437636761,0,0.656455142,9.190371991,0.218818381,0,1.969365427,0,38.29321663,0,34.1356674,0,0.218818381,0,0,0.218818381,0,0.218818381,0,0.218818381,0.437636761,0.218818381,0.218818381,0.437636761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,gray silt,306,1956,750,858,0.328407225,0,0.164203612,0.328407225,0.65681445,1.806239737,0,0.164203612,0,1.3136289,0,0,2.6272578,0,0.65681445,7.553366174,0,0,0.821018062,0.328407225,30.54187192,0.164203612,50.24630542,0.164203612,0,0.164203612,0,0.164203612,0,0,0,0.328407225,0.492610837,0.328407225,0.164203612,0,0.164203612,0.164203612,0.164203612,0,0,0,0,0,0,0,0,0,0,0
25,gray silt,590,2864,1425,1506,0,0.218340611,0,0.655021834,0.436681223,3.056768559,0.436681223,0,0,0.436681223,0,0,12.22707424,1.965065502,0.218340611,1.965065502,0,0,0.436681223,0.436681223,42.13973799,0,32.09606987,0.436681223,0,0.436681223,0,0,0,0,0.218340611,0.218340611,0.436681223,0.218340611,0,0,0,0,0.218340611,0.436681223,0.655021834,0,0,0,0,0,0,0,0,0
40,gray silt,2035,4864,3521,3498,0,2.183406114,0.436681223,1.746724891,0.436681223,2.838427948,0.436681223,0,0,0,0,0,4.585152838,0.218340611,0.436681223,5.021834061,0,0,1.528384279,0.436681223,41.92139738,0,34.71615721,0,0,0,0,0.218340611,0,0,0,0.655021834,0.436681223,1.310043668,0,0.436681223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,gray silt,3415,5699,4839,4757,0.245700246,1.228501229,0,0.491400491,1.965601966,9.828009828,1.228501229,0,0.245700246,0.982800983,0,0,6.87960688,0,0.491400491,6.142506143,0,0,0.491400491,0,39.55773956,0,25.06142506,0,0,0.737100737,0,0,0,0,0.491400491,0.491400491,0.982800983,0.737100737,0.245700246,0.245700246,0.245700246,0,0,0.491400491,0,0.245700246,0.245700246,0,0,0,0,0,0,0
60,gray silt,5011,7094,5887,5928,0.574712644,1.436781609,0.287356322,2.011494253,1.724137931,0.574712644,1.436781609,0,0,0,0.862068966,0,10.05747126,0,0,11.49425287,0,0,2.298850575,0,46.55172414,0.287356322,12.93103448,0,0,0,0,0,0,0,0.287356322,0.574712644,0.574712644,3.448275862,0.287356322,0.574712644,0.574712644,0,0,0.862068966,0,0,0,0.287356322,0,0,0,0,0,0
70,gray silt,5745,8440,6939,6982,0,2.366863905,0.887573964,1.479289941,1.479289941,1.775147929,2.958579882,0,0,0,0.591715976,0,4.733727811,0,0.887573964,7.692307692,0,0,1.775147929,0,57.10059172,0.295857988,11.24260355,0,0,0,0.295857988,0,0,0,0.591715976,0,0.887573964,1.775147929,0.591715976,0,0.295857988,0,0,0,0.295857988,0,0,0,0,0,0,0,0,0
80,gray silt,6559,9697,8029,8045,0.294117647,0.882352941,0,2.647058824,0.588235294,0.588235294,9.411764706,0,0,0,1.176470588,0,4.117647059,0,0,8.823529412,0,0,1.176470588,0.294117647,51.47058824,0.294117647,10.58823529,0.588235294,0.588235294,0,0,0,0,0.588235294,0.588235294,0,0.588235294,2.941176471,0.294117647,0,0,0.294117647,0,0.294117647,0,0,0,0,0.294117647,0.588235294,0,0,0,0
