depth,strat,min,max,median,mean,Ambrosiatype,Betula,Carya,Cyperaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Juglans cinerea,Ostrya/Carpinus,Pinus,Platanus,Prunus/Sorbus,Quercus,Tsuga,Acer rubrum,Alnus incana-type,Apiaceae,Asteroideae undiff.,Ilex,Indeterminable,Juglans nigra,Poaceae undiff.,Rumex,Sphagnum,Ulmus,Acer saccharum-type,Artemisia,Castanea,Cornus,Corylus,Myrica,Nyssa,Osmunda,Plantago lanceolata,Poaceae (Cerealia),Rhamnaceae/Vitaceae,Ericaceae,Salix,Tilia,Pteridium-type,Thalictrum,Alnus viridis-type,Caprifoliaceae sensu lato,Dryopteris-type,Picea,Polygonum sensu lato,Unknown,Abies,Anacardiaceae,Polypodiophyta undiff.,Onagraceae,Isoëtes,Lemnoideae,Lycopodium-type,Potamogetonaceae,Potentilla-type,Sagittaria,Sanguisorba,Sparganium-type,Menyanthes trifoliata,Caryophyllaceae,Spermatophyta undiff. (aquatics),Cupressaceae,Ranunculus
20,peat with silt,-59,1403,255,373,0.67,2,1,0.33,0.33,0.33,1.67,0.33,0.67,12.67,0.33,0.33,79,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,peat with silt,85,1933,702,788,2.7,16.22,0.9,5.71,0,0,0.6,0.6,0,16.22,0,0,49.55,0.9,1.2,0.3,0.3,0.3,0.3,0.6,0.3,1.5,0.3,0.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,peat with silt,283,2426,1123,1186,5.61,11.55,2.97,2.31,0.66,0,0.33,0.66,0.66,14.85,0,0.33,40.26,1.98,0.33,0.66,0.33,0,0.99,0.33,0.66,1.32,0,0,0.99,1.32,0.99,2.97,0.33,0.33,0.33,4.62,0.66,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,peat with silt,544,2906,1559,1599,1.32,9.93,3.31,1.66,1.66,0,0,0.33,2.65,21.85,0.33,0.33,38.74,2.98,0,1.66,0,0,0.66,0,0,0.99,0,0.66,0.99,0,0,2.98,0,0,0,6.29,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,peat with silt,838,3404,1970,2014,0.33,5.65,1.66,1,1,0,0.33,0,1.66,25.91,0.33,0.33,41.86,3.65,0,0.66,0,0,0.66,0,0,0.66,0,0,0.33,0,0,4.98,0,0,0,6.31,0.66,0,0,0.66,0.66,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,peat with silt,1534,4228,2782,2813,0,4.98,2.33,6.64,2.99,0,0,0.33,1.99,16.94,0.33,0,38.21,1.99,0.66,0,0,0,0.33,0,0.33,0.33,0,0,1.66,0,0,8.31,0,0.33,0.33,10.3,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,peat with silt,1881,4610,3222,3228,0.68,4.45,2.4,8.22,1.71,0,0,0.34,1.37,20.55,0.34,0,44.52,0.34,0.34,0.34,0,0,0,0.34,0,0.34,0,0,0,0,0.34,5.14,0,0.34,0,7.19,0,0,0,0,0,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,peat with silt,2266,5013,3632,3630,0,4.29,2.31,10.56,1.98,0,0.99,0,1.98,17.49,0.33,0,36.63,0.66,0,0.99,0,0.33,3.3,0,0.33,1.98,0,0,0.33,0.33,0.33,8.91,0,0,0.33,2.64,0.33,0,0,0.33,0.33,0,0,0.99,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,peat with silt,2645,5391,4059,4046,0.17,2.07,1.03,1.03,1.72,0,0,0.17,0.34,7.92,0,0,22.2,0.52,0,0.17,0,0,48.54,0,0,0,0,0,0.34,0,0.34,4.65,0,0,0.17,7.23,0.34,0,0,0.17,0.34,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,peat with silt,3006,5751,4462,4443,0.32,1.59,0.64,5.41,1.27,0,0.32,0,2.55,12.42,0.32,0,36.94,2.55,0.32,0,0,0,5.1,0,0,2.23,0,0,0,0.96,0,10.19,0,0,0,10.83,3.82,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0.32,0.64,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
