depth,min,max,median,mean
144.78,8451,8758,8581,8580
145.78,8470,8802,8614,8617
146.78,8484,8876,8647,8654
147.78,8495,8964,8679,8692
148.78,8504,9057,8709,8729
149.78,8539,9093,8747,8766
150.78,8567,9124,8789,8804
151.78,8584,9161,8831,8842
152.78,8600,9217,8869,8880
153.78,8612,9275,8908,8918
154.78,8648,9308,8944,8953
155.78,8672,9333,8981,8988
156.78,8693,9362,9015,9022
157.78,8709,9395,9053,9057
158.78,8726,9443,9088,9092
159.78,8757,9465,9121,9127
160.78,8794,9477,9153,9162
161.78,8815,9493,9193,9197
162.78,8837,9507,9233,9232
163.78,8856,9532,9280,9267
164.78,8877,9547,9298,9286
165.78,8896,9561,9310,9301
166.78,8921,9579,9325,9316
167.78,8947,9597,9341,9330
168.78,8971,9618,9355,9345
169.78,8988,9631,9368,9359
170.78,9017,9646,9383,9373
171.78,9042,9661,9396,9387
172.78,9058,9677,9411,9401
173.78,9067,9697,9424,9415
174.78,9080,9709,9438,9429
175.78,9101,9717,9452,9442
176.78,9118,9729,9467,9456
177.78,9135,9740,9481,9469
178.78,9148,9756,9495,9483
179.78,9165,9770,9508,9496
180.78,9179,9781,9523,9510
181.78,9191,9793,9538,9523
182.78,9204,9806,9551,9537
183.78,9219,9822,9565,9550
184.78,9235,9833,9579,9564
185.78,9249,9846,9591,9577
186.78,9264,9859,9605,9591
187.78,9274,9872,9621,9604
188.78,9289,9888,9634,9618
189.78,9302,9896,9646,9631
190.78,9322,9905,9658,9644
191.78,9338,9917,9669,9657
192.78,9351,9931,9683,9671
193.78,9367,9944,9697,9684
194.78,9382,9954,9709,9698
195.78,9398,9964,9721,9712
196.78,9416,9976,9736,9725
197.78,9432,9987,9750,9739
198.78,9445,10002,9764,9753
199.78,9461,10012,9778,9767
200.78,9479,10020,9792,9780
201.78,9498,10026,9805,9793
202.78,9510,10039,9817,9806
203.78,9526,10049,9830,9819
204.78,9548,10056,9843,9833
205.78,9571,10064,9857,9846
206.78,9594,10078,9870,9860
207.78,9612,10089,9885,9874
208.78,9626,10099,9897,9888
209.78,9651,10108,9910,9902
210.78,9668,10120,9924,9915
211.78,9687,10129,9937,9928
212.78,9701,10139,9951,9942
213.78,9715,10147,9965,9955
214.78,9735,10156,9978,9969
215.78,9759,10164,9990,9983
216.78,9781,10175,10004,9996
217.78,9801,10182,10017,10010
218.78,9819,10189,10032,10024
219.78,9838,10196,10044,10037
220.78,9862,10205,10057,10050
221.78,9882,10212,10070,10063
222.78,9894,10222,10083,10076
223.78,9910,10233,10096,10090
224.78,9930,10247,10117,10110
225.78,9955,10270,10140,10132
226.78,9972,10312,10159,10154
227.78,9988,10369,10177,10176
228.78,10004,10425,10194,10199
229.78,10029,10460,10220,10225
230.78,10049,10494,10246,10253
231.78,10066,10535,10272,10280
232.78,10082,10600,10296,10308
233.78,10096,10666,10320,10336
234.78,10123,10700,10348,10364
235.78,10148,10726,10375,10392
236.78,10167,10755,10405,10420
237.78,10182,10802,10433,10449
238.78,10194,10853,10460,10477
239.78,10221,10892,10490,10506
240.78,10251,10924,10518,10535
241.78,10274,10964,10548,10563
242.78,10292,11014,10577,10592
243.78,10310,11060,10607,10621
244.78,10337,11093,10635,10649
245.78,10365,11118,10665,10677
246.78,10386,11146,10692,10706
247.78,10410,11182,10719,10734
248.78,10425,11235,10746,10762
249.78,10456,11261,10772,10790
250.78,10490,11295,10799,10818
251.78,10517,11324,10827,10845
252.78,10534,11367,10857,10873
253.78,10549,11401,10884,10901
254.78,10597,11429,10909,10929
255.78,10636,11457,10934,10958
256.78,10669,11489,10961,10986
257.78,10693,11524,10988,11014
258.78,10709,11567,11016,11043
259.78,10754,11591,11040,11071
260.78,10804,11620,11063,11099
261.78,10842,11644,11086,11126
262.78,10866,11681,11110,11154
263.78,10890,11719,11137,11182
264.78,10989,11760,11168,11227
265.78,11075,11810,11205,11277
266.78,11114,11864,11252,11326
267.78,11135,11946,11302,11375
268.78,11156,12033,11351,11425
269.78,11224,12127,11449,11515
270.78,11269,12245,11559,11617
271.78,11300,12416,11666,11719
272.78,11321,12629,11763,11821
273.78,11341,12857,11861,11922
274.78,11434,12977,11963,12026
275.78,11501,13062,12082,12130
276.78,11553,13166,12192,12234
277.78,11587,13294,12303,12338
278.78,11627,13479,12403,12442
279.78,11729,13566,12518,12548
280.78,11829,13644,12632,12655
281.78,11890,13726,12753,12761
282.78,11940,13853,12873,12868
283.78,11999,13982,12983,12975
284.78,12118,14063,13087,13080
285.78,12263,14106,13194,13185
286.78,12348,14170,13299,13289
287.78,12433,14276,13410,13394
288.78,12477,14409,13526,13499
289.78,12651,14467,13629,13602
290.78,12846,14522,13719,13706
291.78,12980,14598,13820,13810
292.78,13082,14680,13930,13914
293.78,13159,14793,14039,14018
294.78,13244,14850,14112,14095
295.78,13313,14911,14180,14166
296.78,13373,14986,14254,14237
