depth origina,depth adjusted,laser,mode,span,d43,d10,d20,d30,d40,d50,d90,depth adjusted prev
5,5,17.08,8.84,2.89,16.8,2.12,3.32,4.61,6.06,7.8,24.7,5
10,10,17.89,9.61,3.31,19.3,2.26,3.57,4.99,6.66,8.68,31,10
17,17,16.74,8.37,3.08,18,2.15,3.31,4.58,6.04,7.81,26.2,15
21,21,16.04,8.51,2.98,15.6,2.13,3.29,4.56,6,7.75,25.2,20
25,25,16.99,8.14,3.08,18.6,2.11,3.26,4.5,5.93,7.66,25.7,25
46,,16.85,8.8,3.05,16.3,2.19,3.39,4.71,6.21,8.04,26.7,30
51,30,19.6,7.38,3.04,17.4,2.14,3.22,4.37,5.7,7.3,24.4,35
55,35,17.08,9.53,2.86,15.1,2.47,3.78,5.18,6.75,8.62,27.1,40
61,,16.54,8.59,3.66,26.5,2.23,3.48,4.84,6.44,8.43,33.1,45
70,,16.52,12.1,9.96,40.3,3.03,4.98,7.2,9.93,13.5,137,50
75,47,15.72,14.6,4.61,27.9,3.13,5.22,7.52,10.2,13.4,64.9,55
78,51,15.78,13.5,10.95,50.5,3.26,5.53,8.15,11.3,15.5,173,60
