depth origina,depth adjusted,laser,mode,span,d10,d20,d30,d40,d50,d90
5.5,5.5,17.08,8.84,2.893,2.12,3.32,4.61,6.06,7.8,24.7
10.5,10.5,17.89,9.61,3.306,2.26,3.57,4.99,6.66,8.68,31
17.5,17.5,16.74,8.37,3.076,2.15,3.31,4.58,6.04,7.81,26.2
21.5,21.5,16.04,8.51,2.975,2.13,3.29,4.56,6,7.75,25.2
25.5,25.5,16.99,8.14,3.084,2.11,3.26,4.5,5.93,7.66,25.7
30.5,recore,17.81,9.49,3.235,2.21,3.5,4.9,6.53,8.52,29.8
35.5,recore,15.59,9.06,3.152,2.19,3.44,4.8,6.36,8.26,28.2
40.5,recore,16.97,9.29,3.066,2.19,3.44,4.79,6.36,8.26,27.5
46.5,recore,16.85,8.8,3.051,2.19,3.39,4.71,6.21,8.04,26.7
51.5,31.5,19.6,7.38,3.044,2.14,3.22,4.37,5.7,7.3,24.4
55.5,37.5,17.08,9.53,2.863,2.47,3.78,5.18,6.75,8.62,27.1
61.5,recore,16.54,8.59,3.664,2.23,3.48,4.84,6.44,8.43,33.1
65.5,recore,18.31,9.39,3.311,2.33,3.64,5.05,6.68,8.63,30.9
70.5,recore,16.52,12.1,9.957,3.03,4.98,7.2,9.93,13.5,137
75.5,47.5,15.72,14.6,4.606,3.13,5.22,7.52,10.2,13.4,64.9
78.5,50.5,15.78,13.5,10.953,3.26,5.53,8.15,11.3,15.5,173
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
