depth,min,max,median,mean,Ambrosiatype,Betula,Carya,Cyperaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Juglans cinerea,Ostrya/Carpinus,Pinus,Platanus,Prunus/Sorbus,Quercus,Tsuga,Acer rubrum,Alnus incana-type,Apiaceae,Asteroideae undiff.,Ilex,Indeterminable,Juglans nigra,Poaceae undiff.,Rumex,Sphagnum,Ulmus,Acer saccharum-type,Artemisia,Castanea,Cornus,Corylus,Myrica,Nyssa,Osmunda,Plantago lanceolata,Poaceae (Cerealia),Rhamnaceae/Vitaceae,Ericaceae,Salix,Tilia,Pteridium-type,Thalictrum,Alnus viridis-type,Caprifoliaceae sensu lato,Dryopteris-type,Picea,Polygonum sensu lato,Unknown,Abies,Anacardiaceae,Polypodiophyta undiff.,Onagraceae,Isoëtes,Lemnoideae,Lycopodium-type,Potamogetonaceae,Potentilla-type,Sagittaria,Sanguisorba,Sparganium-type,Menyanthes trifoliata,Caryophyllaceae,Spermatophyta undiff. (aquatics),Cupressaceae,Ranunculus
20,-59,1403,255,373,0.67,2.00,1.00,0.33,0.33,0.33,1.67,0.33,0.67,12.67,0.33,0.33,79.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,85,1933,702,788,2.70,16.22,0.90,5.71,0.00,0.00,0.60,0.60,0.00,16.22,0.00,0.00,49.55,0.90,1.20,0.30,0.30,0.30,0.30,0.60,0.30,1.50,0.30,0.30,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,283,2426,1123,1186,5.61,11.55,2.97,2.31,0.66,0.00,0.33,0.66,0.66,14.85,0.00,0.33,40.26,1.98,0.33,0.66,0.33,0.00,0.99,0.33,0.66,1.32,0.00,0.00,0.99,1.32,0.99,2.97,0.33,0.33,0.33,4.62,0.66,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,544,2906,1559,1599,1.32,9.93,3.31,1.66,1.66,0.00,0.00,0.33,2.65,21.85,0.33,0.33,38.74,2.98,0.00,1.66,0.00,0.00,0.66,0.00,0.00,0.99,0.00,0.66,0.99,0.00,0.00,2.98,0.00,0.00,0.00,6.29,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,838,3404,1970,2014,0.33,5.65,1.66,1.00,1.00,0.00,0.33,0.00,1.66,25.91,0.33,0.33,41.86,3.65,0.00,0.66,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00,0.33,0.00,0.00,4.98,0.00,0.00,0.00,6.31,0.66,0.00,0.00,0.66,0.66,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,1534,4228,2782,2813,0.00,4.98,2.33,6.64,2.99,0.00,0.00,0.33,1.99,16.94,0.33,0.00,38.21,1.99,0.66,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.00,0.00,1.66,0.00,0.00,8.31,0.00,0.33,0.33,10.30,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,1881,4610,3222,3228,0.68,4.45,2.40,8.22,1.71,0.00,0.00,0.34,1.37,20.55,0.34,0.00,44.52,0.34,0.34,0.34,0.00,0.00,0.00,0.34,0.00,0.34,0.00,0.00,0.00,0.00,0.34,5.14,0.00,0.34,0.00,7.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,2266,5013,3632,3630,0.00,4.29,2.31,10.56,1.98,0.00,0.99,0.00,1.98,17.49,0.33,0.00,36.63,0.66,0.00,0.99,0.00,0.33,3.30,0.00,0.33,1.98,0.00,0.00,0.33,0.33,0.33,8.91,0.00,0.00,0.33,2.64,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.99,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,2645,5391,4059,4046,0.17,2.07,1.03,1.03,1.72,0.00,0.00,0.17,0.34,7.92,0.00,0.00,22.20,0.52,0.00,0.17,0.00,0.00,48.54,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,4.65,0.00,0.00,0.17,7.23,0.34,0.00,0.00,0.17,0.34,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,3006,5751,4462,4443,0.32,1.59,0.64,5.41,1.27,0.00,0.32,0.00,2.55,12.42,0.32,0.00,36.94,2.55,0.32,0.00,0.00,0.00,5.10,0.00,0.00,2.23,0.00,0.00,0.00,0.96,0.00,10.19,0.00,0.00,0.00,10.83,3.82,0.00,0.00,0.32,0.00,0.00,0.32,0.32,0.00,0.00,0.00,0.00,0.32,0.64,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,3843,6426,5269,5235,0.29,2.65,0.00,5.01,1.18,0.59,0.59,0.29,0.59,10.91,0.00,0.00,27.14,4.42,0.29,0.88,0.29,0.00,0.88,0.00,0.29,0.88,0.00,0.88,0.88,0.29,0.00,11.50,0.00,0.29,0.00,16.22,10.32,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.29,0.59,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,4732,7011,6096,6048,0.63,1.25,1.25,6.88,1.88,0.00,0.00,0.00,0.94,6.25,0.00,0.00,33.13,5.63,0.31,0.63,0.63,0.00,1.56,0.00,0.00,3.75,0.00,0.31,0.31,0.63,0.00,9.06,0.00,0.31,0.00,17.50,5.31,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.31,0.31,0.31,0.00,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,5849,7513,6921,6860,0.31,0.92,0.62,7.38,2.15,0.00,0.00,0.31,0.62,6.77,0.00,0.00,31.69,4.92,1.23,0.62,0.31,0.00,1.23,0.00,0.00,0.92,0.00,1.23,0.31,0.31,0.00,8.92,0.00,0.00,0.00,21.54,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
