depth,min,max,median,mean,Acer rubrum,Acer saccharum-type,Alnus incana-type,Amaranthaceae,Ambrosia-type,Anacardiaceae,Angiospermae undiff. (herbs),Artemisia,Asteroideae undiff.,Betula,Caprifoliaceae sensu lato,Carya,Castanea,Cyperaceae,Ericaceae,Fagus,Fraxinus pennsylvanica-type,Juglans cinerea,Juglans nigra,Larix,Liquidambar,Lycopodium-type,Osmunda,Ostrya/Carpinus,Picea,Pinus,Plantago,Platanus,Poaceae undiff.,Polypodiophyta undiff.,Populus,Prunus/Sorbus,Quercus,Rumex,Sphagnum,Tsuga,Ulmus,Vitis,Dryopteris-type,Menyanthes trifoliata,Myrica,Poaceae (Cerealia),Pteridium-type,Apiaceae,Equisetum,Fraxinus nigra-type,Nyssa,Brasenia schreberi,Corylus,Celtis,Diospyros-type,Rhamnaceae,Sagittaria,Acer negundo,Nuphar,Thalictrum,Cornus,Salix,Cupressaceae,Myriophyllum,Nymphaea,Ilex,Rubiaceae undiff.,Spermatophyta undiff. (aquatics),Potamogetonaceae,Galium,Polygonum sensu lato,Sparganium-type,Tilia,Isoëtes,Typha latifolia,Rhamnaceae/Vitaceae undiff.,Taxus,Abies,Urtica-type,Alnus viridis-type,Morus,Sanguisorba,Spermatophyta undiff. (shrubs),Moraceae undiff.,Caryophyllaceae,Selaginella
20,-39,1440,475,529,1.162790698,0.581395349,10.46511628,0.581395349,13.08139535,0.290697674,0.290697674,0.290697674,0.872093023,11.91860465,0.290697674,2.034883721,0.290697674,0.581395349,0.581395349,1.744186047,0.872093023,0.290697674,0.581395349,0.290697674,0.872093023,0.581395349,0.290697674,0.290697674,1.162790698,6.976744186,1.162790698,1.744186047,1.162790698,0.290697674,0.290697674,0.290697674,21.22093023,0.581395349,12.79069767,1.744186047,1.162790698,0.290697674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,55,1514,569,623,0.574712644,0,2.298850575,0.287356322,26.72413793,0.287356322,2.873563218,0,0,5.459770115,0,1.436781609,3.735632184,4.885057471,2.011494253,0.862068966,0,0.574712644,0,1.436781609,0,0.287356322,0.574712644,0.574712644,2.586206897,4.310344828,0.862068966,0.287356322,1.436781609,0.287356322,0,0.574712644,16.37931034,2.011494253,10.63218391,1.149425287,0.574712644,0,1.149425287,0.287356322,0.287356322,1.149425287,1.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,141,1601,669,720,0.245098039,0.490196078,1.960784314,0,21.07843137,0.245098039,5.392156863,0,0.245098039,7.107843137,0,0.980392157,3.431372549,0.980392157,2.696078431,0.980392157,0,0.245098039,0,0.980392157,0,0.245098039,0,0.245098039,1.225490196,6.12745098,0.245098039,0,2.696078431,0,0,0,14.21568627,1.960784314,21.07843137,1.470588235,0.490196078,0,0,0,0,1.470588235,0.245098039,0.245098039,0.490196078,0.245098039,0.245098039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,224,1678,768,816,0.522193211,1.044386423,1.305483029,0,7.310704961,0,11.74934726,0,0.783289817,6.005221932,0,2.088772846,1.566579634,2.088772846,0.783289817,2.349869452,0.261096606,0.261096606,0.261096606,0.261096606,0,0,0,0.522193211,3.133159269,14.36031332,0.261096606,0.783289817,0.261096606,0,0,0,20.62663185,1.566579634,5.221932115,3.65535248,0.261096606,0,2.349869452,0.261096606,0.522193211,1.044386423,1.82767624,0,0,0,0.522193211,3.916449086,0.261096606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,321,1773,867,910,1.066666667,0,0.533333333,0,2.666666667,0,16,0,0.266666667,8.533333333,0,1.333333333,0,4.533333333,0.266666667,2.4,0.8,0,0.533333333,1.066666667,0.266666667,0,0.266666667,0.266666667,1.866666667,19.2,0,0,0.533333333,0,0,0,16,0,1.6,13.06666667,0.266666667,0,0.266666667,0,0.266666667,0,1.6,0.266666667,0,0.266666667,0,0.266666667,0,0.266666667,0.266666667,0.266666667,2.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,420,1859,961,1007,0,0,5.625,0,0.3125,0,2.8125,0,0.625,6.875,0,3.125,2.1875,0.3125,2.5,3.4375,0.9375,0,0.625,0,0.3125,0,1.25,0.3125,1.5625,16.25,0,0.3125,0,0,0,0.3125,32.1875,0,1.25,7.5,0.9375,0,4.0625,0,0.3125,0,0,0,0,0.9375,0,0.625,0.3125,0,0,0,0.9375,0.3125,0.625,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,523,1939,1070,1112,0.249376559,0.249376559,0.748129676,0,0,0,20.94763092,0,0.249376559,6.234413965,0.249376559,2.743142145,1.246882793,0.748129676,0.249376559,2.992518703,0,0,0,0,0,0,0,0.748129676,0.249376559,7.980049875,0,0.249376559,0,0,1.496259352,0.249376559,38.15461347,0,3.49127182,6.483790524,1.246882793,0,0.249376559,0,0.498753117,0,0.249376559,0,0.249376559,0,0,0.249376559,0,0,0,0.249376559,0,0,0.498753117,0,0.249376559,0.249376559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,607,2009,1161,1199,0.626959248,0,2.194357367,0,0,0,4.07523511,0,0,6.269592476,0,3.448275862,2.194357367,0.940438871,0.626959248,6.269592476,0,0.313479624,0,0.313479624,0,0,0,0,0.940438871,11.59874608,0,0.313479624,0,0,0,0,48.58934169,0,0.313479624,6.5830721,1.567398119,0,0.313479624,0,0,0,0,0,0,0.313479624,0.313479624,1.567398119,0,0,0,0,0,0,0,0,0,0.313479624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,705,2098,1257,1295,0.974025974,1.298701299,2.272727273,0,0.324675325,0,0,0,0,10.71428571,0.324675325,5.519480519,1.623376623,2.272727273,0,4.87012987,0.649350649,0.324675325,0,0,0,0,0.324675325,0.324675325,1.623376623,11.03896104,0,0,0.324675325,0,0.324675325,0,42.85714286,0,0,7.142857143,1.623376623,0,0,0,0,0,0.324675325,0,0,0.324675325,0,0.974025974,0,0,0,0,0.324675325,0,0,0,0,0,0.324675325,0.324675325,0.649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,797,2181,1358,1391,0.293255132,0.879765396,4.985337243,0,0,0,2.93255132,0,0.586510264,8.504398827,0.293255132,2.93255132,1.759530792,1.46627566,0,2.639296188,0.293255132,0,0,0.879765396,0.293255132,0,0.879765396,0.879765396,0,13.19648094,0,0,0.586510264,0,0,0,36.36363636,0,1.759530792,3.812316716,0.586510264,0,1.759530792,0,0.293255132,0,1.173020528,0,0,0.293255132,0.293255132,4.105571848,0.293255132,0,0,0,0.586510264,0,1.46627566,0,0,0,0,0,1.46627566,0.879765396,0.293255132,0.293255132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
