depth,strat,min,max,median,mean,Acer rubrum,Acer saccharum-type,Alnus,Ambrosia-type,Artemisia,Asteroideae undiff.,Betula,Caprifoliaceae sensu lato,Carya,Cyperaceae,Ericaceae,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Iva annua-type,Juglans nigra,Myrica,Nyssa,Osmunda,Ostrya/Carpinus,Picea,Pinus,Plantago,Platanus,Poaceae,Quercus,Rhamnaceae,Rosaceae undiff.,Rumex,Tsuga,Ulmus,Unknown,Amaranthaceae,Castanea,Cichorioideae,Corylus,Dryopteris-type,Juglans cinerea,Liquidambar,Sphagnum,Lamiaceae,Pteridium-type,Thalictrum,Cupressaceae,Tilia,Apiaceae,Menyanthes trifoliata,Polypodiophyta undiff.,Sagittaria,Urtica-type,Brassicaceae,Ilex,Salix,Angiospermae undiff. (herbs),Sparganium-type,Abies,Anacardiaceae,Polygonum sensu lato,Onagraceae,Lycopodium-type,Ranunculus,Caryophyllaceae,Selaginella,Sanguisorba
4,peat,-67,434,25,68,0.611620795,0.305810398,1.22324159,3.975535168,0.305810398,0.611620795,14.06727829,2.752293578,2.752293578,0.611620795,2.140672783,4.587155963,0.611620795,0.611620795,0.305810398,0.611620795,0.305810398,0.305810398,1.834862385,1.529051988,6.116207951,11.62079511,0.611620795,0.305810398,1.834862385,33.02752294,0.305810398,1.529051988,0.611620795,2.140672783,1.529051988,0.305810398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,peat,11,673,219,252,0,0.583090379,2.915451895,6.705539359,0,0,18.95043732,1.166180758,4.081632653,1.166180758,2.915451895,2.915451895,0,0.874635569,0,0.29154519,0,0,0.29154519,1.457725948,4.081632653,2.623906706,0,0.583090379,0.874635569,32.65306122,0.29154519,0.29154519,0,4.956268222,0.583090379,0,0.29154519,2.040816327,0.583090379,0.583090379,0.874635569,0.874635569,0.29154519,3.206997085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,peat,149,965,455,483,0,0.626959248,1.253918495,0.626959248,0,0.313479624,15.67398119,0.313479624,5.642633229,0.626959248,0.313479624,5.329153605,0,1.253918495,0,0,0.313479624,0,0,0.940438871,7.523510972,9.090909091,0,0.940438871,0.313479624,35.42319749,0,0,0,7.523510972,1.567398119,0.313479624,0,0,0,0,0.313479624,0,0,2.507836991,0.313479624,0.313479624,0.626959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,peat,486,1545,915,941,0,1.226993865,2.760736196,1.226993865,0,0,19.32515337,0,4.90797546,1.226993865,0.306748466,6.134969325,0.306748466,0.613496933,0,0.306748466,0,0,0.613496933,0.613496933,8.282208589,7.055214724,0,1.533742331,0,30.98159509,0,0,0,4.601226994,0.613496933,0,0.613496933,3.067484663,0,0,0,0,0,2.760736196,0,0.613496933,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,peat,885,2139,1413,1440,0,1.173020528,4.985337243,0.586510264,0,0,11.73020528,0,7.624633431,0,0.293255132,4.398826979,0,0,0,0,0,0,0.879765396,1.173020528,6.158357771,11.43695015,0,0.586510264,0.293255132,33.43108504,0,1.173020528,0,3.225806452,0.586510264,0,0,2.93255132,0,0,0,0,0,6.451612903,0,0.586510264,0,0.293255132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,peat,1326,2680,1924,1944,0,0.934579439,4.361370717,0,0,0.62305296,17.75700935,0,7.476635514,0.31152648,0.31152648,5.919003115,0,0.934579439,0,0.62305296,0,0,0,0.62305296,6.230529595,6.853582555,0,0.934579439,0,36.76012461,0,0,0,5.295950156,0.62305296,0,0,0.934579439,0,0.31152648,0,0,0,1.557632399,0,0,0,0,0.62305296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,peat,1654,3073,2282,2307,0,1.479289941,4.142011834,0,0,0.295857988,14.20118343,0,8.579881657,1.775147929,1.775147929,5.029585799,0,0.295857988,0,0,0,0,1.183431953,1.183431953,5.029585799,11.53846154,0,1.183431953,0,32.5443787,0,0.295857988,0,2.366863905,0.887573964,0.295857988,0,1.775147929,0,0,0.887573964,0.887573964,0,1.479289941,0,0.295857988,0.295857988,0,0.295857988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,peat,2097,3544,2742,2763,0,0.917431193,2.140672783,0.305810398,0,0,21.71253823,0.305810398,6.116207951,0.611620795,1.22324159,3.669724771,0,0.611620795,0,0.611620795,0,0,0.305810398,0.611620795,7.951070336,9.174311927,0,0.917431193,0,32.11009174,0,0,0,3.363914373,0.305810398,0,0,0.305810398,0,0.305810398,0.305810398,0.917431193,0,3.669724771,0,0,0.305810398,0,0,0.305810398,0.611620795,0.305810398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,peat,2508,3967,3198,3219,0,0.824742268,5.567010309,0,0,0.206185567,12.98969072,0.206185567,2.474226804,1.030927835,0,2.268041237,0.206185567,1.030927835,0,0.206185567,0.206185567,0,0.618556701,0.412371134,5.360824742,7.216494845,0,0.824742268,0,23.50515464,0,0,0,1.030927835,0.206185567,0.206185567,0,1.030927835,0,0,0.206185567,0,0,29.07216495,0,0.206185567,0.412371134,0,0.206185567,0.618556701,1.030927835,0,0.412371134,0.206185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,peat,2970,4396,3652,3676,0,0.387596899,14.53488372,0.19379845,0.19379845,0.19379845,10.07751938,0,5.23255814,0.19379845,0,3.488372093,0,0.19379845,0,0,0,0,5.813953488,0.387596899,6.201550388,5.813953488,0,0.19379845,0,20.54263566,0,0.581395349,0,0.581395349,0.19379845,0,0.19379845,0.387596899,0,0,15.69767442,0,0,6.395348837,0,0.387596899,0.19379845,0,0.19379845,0,0.581395349,0,0,0,0.19379845,0.775193798,0,0,0,0,0,0,0,0,0,0,0,0
