depth,strat,min,max,median,mean,Acer rubrum,Amaranthaceae,Ambrosia-type,Anacardiaceae,Asteroideae undiff.,Betula,Carya,Cyperaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Lemnoideae,Liquidambar,Lycopodium-type,Nyssa,Osmunda,Pinus,Plantago,Platanus,Poaceae undiff.,Potentilla-type,Quercus,Rhamnaceae/Vitaceae undiff.,Rubiaceae,Rumex,Salix,Tsuga,Ulmus,Urtica-type,Alnus incana-type,Artemisia,Castanea,Dryopteris-type,Ericaceae,Ostrya/Carpinus,Poaceae (Cerealia),Sparganium-type,Abies,Juglans nigra,Picea,Pteridium-type,Sphagnum,Unknown,Acer saccharum-type,Fraxinus nigra-type,Populus,Corylus,Myrica,Thalictrum,Polygonum sensu lato,Typha latifolia,Caprifoliaceae sensu lato,Diospyros-type,Potamogetonaceae,Sagittaria,Rhamnaceae,Brasenia schreberi,Isoëtes,Sanguisorba,Alnus viridis-type,Caryophyllaceae,Nuphar,Onagraceae,Spermatophyta undiff. (aquatics),Cichorioideae,Cupressaceae,Menyanthes trifoliata,Myriophyllum,Lamiaceae,Polypodiophyta undiff.,Athyrium,Polemoniaceae,Brassicaceae,Equisetum,Campanulaceae
0,silty peat,12569,13268,12942,12934,11.17647059,0.294117647,7.647058824,0.588235294,0.588235294,5,1.470588235,1.176470588,0.294117647,0.882352941,0.588235294,0.294117647,0.882352941,0.294117647,0.294117647,1.176470588,1.176470588,5,0.882352941,1.176470588,5.588235294,1.176470588,43.23529412,0.294117647,5.294117647,0.294117647,1.176470588,0.294117647,0.882352941,0.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,silty peat,12595,13288,12968,12959,0.696055684,0.232018561,24.12993039,0,6.728538283,2.552204176,0.464037123,1.160092807,0.232018561,0.232018561,0.464037123,0,0,0,0.232018561,1.62412993,0,1.392111369,0.696055684,0,5.104408353,0,26.68213457,0,16.70533643,1.62412993,0,0,0.232018561,0.464037123,0.464037123,0.464037123,3.712296984,0.464037123,0.232018561,0.464037123,1.392111369,1.160092807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,silty peat,12625,13310,12993,12985,0.279329609,0,20.39106145,0,0.558659218,0.837988827,1.396648045,2.51396648,1.396648045,0.279329609,1.117318436,0.279329609,0,0,0,0.837988827,1.396648045,3.910614525,2.51396648,0,2.234636872,0,31.00558659,0,5.865921788,0.837988827,0,1.117318436,0.279329609,0,0.279329609,0.558659218,13.68715084,3.631284916,0,0.279329609,0,0.837988827,0.279329609,0.279329609,0.279329609,0.279329609,0.279329609,0.279329609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,silty peat,12651,13334,13018,13010,0.755667506,0,0.755667506,0,0.503778338,2.267002519,2.267002519,3.274559194,1.007556675,0.251889169,0.251889169,0,0,0,0,1.259445844,2.770780856,3.526448363,3.526448363,0,2.01511335,0,41.56171285,0,6.04534005,0.503778338,0,0.251889169,0.503778338,0,1.259445844,0,13.60201511,9.823677582,0.503778338,0.251889169,0.251889169,0,0,0,0,0.251889169,0.503778338,0,0.251889169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,silty peat,12686,13357,13043,13036,0.925925926,0,0,0,0,2.546296296,2.546296296,3.009259259,2.314814815,0.231481481,0.462962963,0,0,0.231481481,0,0.462962963,3.472222222,2.546296296,0,0,1.157407407,0,41.89814815,0,9.490740741,0,0,1.157407407,0,0,0.694444444,0,13.19444444,11.57407407,0.462962963,0,0,0.231481481,0,0,0,0,0.462962963,0,0,0.462962963,0.462962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,silty peat,12711,13379,13069,13061,0.409836066,0,0.204918033,0,0.204918033,2.459016393,2.459016393,3.073770492,1.024590164,0,1.024590164,0,0,0.204918033,0,1.024590164,9.221311475,2.049180328,0,0,2.049180328,0,39.95901639,0,5.532786885,0,0,1.024590164,0,0,0.204918033,0,8.196721311,18.44262295,0.204918033,0,0,0.409836066,0,0,0,0,0,0,0,0,0,0.204918033,0.204918033,0.204918033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,silty peat,12738,13403,13094,13087,0.503778338,0,0,0,0,1.511335013,4.0302267,2.770780856,1.511335013,0.251889169,1.511335013,0,0,0.251889169,0,1.007556675,3.022670025,2.267002519,0,0,2.770780856,0,50.62972292,0,2.770780856,0,0,1.259445844,0,0,0.503778338,0,8.060453401,11.58690176,1.007556675,0.755667506,0,0,0,0,0,0.503778338,1.007556675,0.251889169,0,0,0,0,0,0,0.251889169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,silty peat,12756,13426,13120,13111,0.335008375,0,0.167504188,0,0.335008375,1.675041876,2.010050251,3.182579564,0.502512563,0,0,0,0,0,0.167504188,0,0.167504188,2.847571189,0,0.335008375,2.680067002,0,32.32830821,0,10.05025126,0,0,0.167504188,0,0,0.837520938,0,7.370184255,31.65829146,0.502512563,0.335008375,0,1.172529313,0,0,0.167504188,0,0,0.167504188,0.167504188,0,0,0,0,0,0.502512563,0.167504188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,silty peat,12789,13450,13147,13137,0.63559322,0,0.211864407,0,0.63559322,2.966101695,1.059322034,3.813559322,1.694915254,0,0.423728814,0,0,0,0.211864407,2.754237288,0,2.542372881,0,0,3.813559322,0,42.37288136,0,14.61864407,0,0,1.694915254,0,0.847457627,1.694915254,0,0.211864407,12.71186441,1.059322034,0.63559322,0,0.63559322,0.423728814,0,0,0,0.211864407,0.423728814,0,0.211864407,0.211864407,0,0,0.211864407,0,0,0.423728814,0.211864407,0.211864407,0.211864407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,silty peat,12820,13471,13171,13163,0.254452926,0,0.254452926,0,0,2.544529262,2.544529262,5.089058524,0.508905852,0,0.508905852,0,0,0.254452926,0.254452926,3.562340967,0.508905852,3.053435115,0,0,8.905852417,0,54.19847328,0,5.597964377,0,0,2.03562341,0.508905852,0.763358779,1.272264631,0,0.763358779,2.03562341,1.017811705,1.272264631,0,0,0,0,0.254452926,0,0,0.508905852,0.254452926,0,0,0.254452926,0,0,0,0,1.017811705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
