depth,strat,min,max,median,mean,Abies,Acer saccharum-type,Ambrosia-type,Betula,Carya,Castanea,Cyperaceae,Dryopteris-type,Ericaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Isoëtes,Juglans cinerea,Juglans nigra,Nuphar,Nyssa,Osmunda,Ostrya/Carpinus,Pinus,Plantago lanceolata,Platanus,Poaceae (Cerealia),Quercus,Rhamnaceae/Vitaceae,Rosaceae undiff.,Sphagnum,Thalictrum,Acer rubrum,Alnus incana-type,Indeterminable,Liquidambar,Poaceae undiff.,Tilia,Unknown,Asteroideae undiff.,Picea,Tsuga,Ulmus,Caprifoliaceae sensu lato,Corylus,Sparganium-type,Apiaceae,Artemisia,Pteridium-type,Polypodiophyta undiff.,Myrica,Fraxinus nigra-type,Sagittaria,Alnus viridis-type,Cornus,Salix,Cupressaceae,Polygonum sensu lato,Potamogetonaceae,Sanguisorba,Anacardiaceae,Lycopodium-type,Angiospermae undiff. (herbs),Caryophyllaceae
10,fibrous peat,8574,9952,9271,9265,0.299401198,0.299401198,5.089820359,3.592814371,3.892215569,3.892215569,3.293413174,0.299401198,3.892215569,0.598802395,0.299401198,3.592814371,0.299401198,0.299401198,0.299401198,0.299401198,2.994011976,7.185628743,0.898203593,17.96407186,0.299401198,0.598802395,0.299401198,35.92814371,0.598802395,0.299401198,2.395209581,0.299401198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,fibrous peat,8696,10050,9371,9368,0,0,1.445086705,5.49132948,4.046242775,5.202312139,5.780346821,0,1.445086705,0.289017341,0,3.179190751,0,0.289017341,0,0,3.179190751,11.2716763,0,12.42774566,0,0,0,41.32947977,0,0,1.734104046,0,0.289017341,0.289017341,0.289017341,0.289017341,1.156069364,0.289017341,0.289017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,fibrous peat,8821,10127,9471,9468,0,0,1.840490798,4.294478528,5.828220859,8.895705521,5.828220859,0.306748466,1.533742331,0.920245399,0.306748466,0.920245399,0.306748466,0,0,1.840490798,3.067484663,4.294478528,0,13.19018405,0,0,0,42.02453988,0.306748466,0.306748466,0.613496933,0,0.306748466,0.306748466,0,0,0.920245399,0,0.613496933,0.306748466,0.306748466,0.306748466,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,fibrous peat,8944,10227,9571,9571,0.303951368,0,0.607902736,6.382978723,4.559270517,7.294832827,5.47112462,0,1.823708207,0.607902736,0.303951368,1.215805471,0,0.303951368,0.911854103,3.343465046,3.343465046,4.559270517,0,13.67781155,0,0.303951368,0,37.99392097,0.607902736,0.303951368,0.911854103,0.303951368,0.303951368,0.303951368,0.607902736,0.303951368,1.823708207,0,0,0,0.303951368,0.607902736,0,0.303951368,0.303951368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,fibrous peat,9073,10312,9673,9671,0,0.29154519,0.29154519,3.790087464,5.539358601,10.20408163,6.705539359,0,1.457725948,1.166180758,0,0.29154519,0.874635569,0.29154519,0.583090379,2.623906706,2.332361516,6.12244898,0.29154519,9.620991254,0,0,0,38.7755102,0.583090379,0.583090379,2.040816327,0.583090379,0,0.583090379,0,0,0.874635569,0,0.583090379,1.166180758,0.29154519,0.874635569,0.29154519,0,0,0.29154519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,fibrous peat,9199,10406,9775,9773,0.314465409,0,0.628930818,6.603773585,3.459119497,12.26415094,6.289308176,0.628930818,0.943396226,0.943396226,0.314465409,1.257861635,0,0,0.628930818,1.886792453,4.088050314,2.830188679,0,9.433962264,0,0.628930818,0,43.39622642,0,0,0.314465409,0,0,0.628930818,0,0,0.314465409,0,0,0,0,0.628930818,0.628930818,0.314465409,0,0,0.314465409,0.314465409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,fibrous peat,9335,10484,9872,9873,0,0,0.269541779,5.660377358,0.539083558,8.355795148,3.773584906,0.269541779,3.234501348,0.808625337,0,4.582210243,0,0,0,0.269541779,14.28571429,15.09433962,0.269541779,5.929919137,0,0.269541779,0,28.30188679,1.078167116,0,2.964959569,0,0,0.539083558,0,0,0.269541779,0,0.269541779,0.539083558,0.269541779,0.808625337,0.269541779,0.539083558,0.269541779,0,0,0,0.269541779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,fibrous peat,9473,10593,9968,9974,0.3003003,0.3003003,0.3003003,4.804804805,1.201201201,10.51051051,4.504504505,0.3003003,3.903903904,0.600600601,0,7.507507508,0,0,0.3003003,0,16.51651652,7.507507508,0.3003003,1.801801802,0,0,0,32.43243243,0.600600601,0.600600601,1.501501502,0,0.3003003,0.600600601,0,0.3003003,0.3003003,0,0.600600601,0,0.3003003,0.3003003,0.3003003,0.600600601,0.3003003,0,0,0,0,0.3003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,fibrous peat,9614,10691,10063,10073,0,0,0.911854103,4.863221884,1.519756839,11.55015198,5.47112462,0,1.823708207,0.303951368,0.303951368,4.559270517,0,0,0.607902736,0,15.19756839,6.079027356,0.911854103,3.647416413,0,0.607902736,0,32.82674772,0.911854103,1.823708207,1.519756839,0,0.303951368,0.303951368,0,0.303951368,0.607902736,0,1.215805471,0.607902736,0,0.607902736,0.303951368,0,0,0,0,0,0,0.303951368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,fibrous peat,9733,10778,10162,10173,0,0.630914826,0.630914826,5.047318612,0.315457413,16.40378549,4.100946372,0,1.892744479,0.630914826,0,5.993690852,0,0,0.315457413,0,24.29022082,3.785488959,0.315457413,4.416403785,0,0.94637224,0,24.60567823,0,0.315457413,1.261829653,0,0.315457413,0,0.315457413,0,1.261829653,0,0.630914826,0,0,0.315457413,0.315457413,0.630914826,0,0,0,0,0.315457413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,fibrous peat,9876,10869,10255,10274,0.917431193,0.305810398,0.917431193,3.669724771,0.611620795,15.90214067,7.951070336,1.22324159,0,0,0.305810398,1.834862385,0,0.917431193,0,0,6.116207951,3.669724771,1.22324159,2.752293578,0,0.305810398,0,36.69724771,0.305810398,0.611620795,1.834862385,0,0.305810398,0.917431193,0.611620795,0,0.917431193,0.305810398,0.611620795,1.22324159,0.305810398,5.810397554,0,0.305810398,0.305810398,0,0,0,0,0,0.305810398,0,0,0,0,0,0,0,0,0,0,0,0,0
65,organic clay,10042,10953,10349,10374,0,0,0,5.015673981,1.253918495,12.53918495,4.07523511,1.880877743,0.313479624,0.940438871,0.313479624,1.880877743,0,0,0.940438871,0,5.015673981,2.194357367,0.626959248,5.642633229,0,0,0,45.45454545,0.313479624,0.313479624,1.253918495,0.313479624,0.313479624,0.940438871,0.313479624,0,0.626959248,0,0.626959248,0.313479624,0,5.329153605,0.626959248,0,0.313479624,0,0,0,0,0,0,0.313479624,0,0,0,0,0,0,0,0,0,0,0,0
70,organic clay,10186,11053,10458,10483,2.743902439,0.304878049,0,11.8902439,0,2.743902439,9.451219512,0.914634146,0.304878049,0,0.609756098,0.304878049,0,0,0,0,0.609756098,2.743902439,0.914634146,8.536585366,0,0,0,26.2195122,0,0,5.182926829,0.304878049,0,2.134146341,0.304878049,0.304878049,2.743902439,0,0,3.048780488,1.219512195,14.32926829,0,0.304878049,1.219512195,0,0,0,0.304878049,0,0,0,0.304878049,0,0,0,0,0,0,0,0,0,0,0
75,organic clay,10275,11162,10580,10608,3.012048193,0.301204819,0.602409639,6.927710843,1.204819277,0.903614458,6.024096386,0.903614458,0,2.108433735,0.301204819,0,0,0,0,0,0,2.108433735,2.409638554,11.44578313,0,0,0,22.89156627,0,0.301204819,3.012048193,0.301204819,0,3.915662651,0.301204819,0,1.506024096,0,0.301204819,5.722891566,6.024096386,11.14457831,0.301204819,0.301204819,2.108433735,0,0.301204819,0,0.301204819,0.301204819,0,0,1.506024096,0.602409639,0.301204819,0.301204819,0,0,0,0,0,0,0,0
80,organic clay,10364,11274,10710,10734,11.24620061,0.303951368,0.303951368,7.294832827,1.215805471,0,11.85410334,2.127659574,0,2.431610942,0.303951368,0,0,0,0,0,0,0,2.73556231,4.863221884,0,0,0,13.06990881,0,0.911854103,0,0.303951368,0,5.775075988,0.303951368,0,5.167173252,0,0.303951368,6.079027356,6.990881459,3.343465046,0.303951368,0,5.775075988,0,0.607902736,0,0,0,0,0.607902736,1.823708207,0.911854103,0.911854103,0.303951368,0.303951368,0.911854103,0.303951368,0.303951368,0,0,0,0
90,organic clay,10567,11535,10974,10992,5.135951662,0,0,6.042296073,2.114803625,0.604229607,3.927492447,0.302114804,0,2.114803625,0,0,0,0,0,0,0,0,3.927492447,7.854984894,0,0,0,16.3141994,0,1.510574018,0,0.906344411,0.302114804,5.438066465,0.302114804,0,3.021148036,0.604229607,0,9.063444109,15.40785498,4.531722054,0.604229607,0,5.135951662,0.302114804,0.604229607,0,0,0,0,0,1.812688822,0.302114804,0,0,0,0.302114804,0.604229607,0,0.302114804,0.604229607,0,0
