Depth,strat,Matt's age,Age 2,Age 3,Abies,Acer,Alnus,Aquifoliaceae,Asteraceae,Betula,Carya,Castanea,Corylus,Cyperaceae,Ericaceae,Fagus,Fraxinus,Juglans,Larix,Lycopodium,Myricaceae,Nyssa,Osmunda,Ostrya/Carpinus,Picea,Pinus,Poaceae,Polypodiaceae,Quercus,Salix,Sparganium,Spermatophyta undiff. (shrubs),Spermatophyta undiff. (trees),Sphagnum,Tilia,Tsuga,Ulmus,Unknown,Utricularia,Viburnum,tree,her,gymnos,hot
2.54,peat,350,184,270,0.222717149,0.668151448,3.118040089,0.668151448,21.82628062,10.91314031,1.336302895,0,0,2.227171492,0.222717149,0,0.890868597,0.890868597,0,0,3.340757238,4.231625835,0,0.222717149,0.222717149,4.231625835,1.781737194,0.890868597,20.04454343,0,0,9.799554566,0,2.449888641,0,3.340757238,0.668151448,5.122494432,0,0.668151448,86.8596882,25.83518931,8.017817372,38.53006682
7.62,peat,660,479,561,0.262467192,0.262467192,7.611548556,1.837270341,20.73490814,9.186351706,1.049868766,1.57480315,0.262467192,5.249343832,1.312335958,0.262467192,0,0.262467192,0,0,0.262467192,6.56167979,0,1.049868766,0.787401575,4.98687664,2.362204724,0,18.6351706,0.262467192,0,1.049868766,0,0.262467192,0,3.149606299,0.524934383,7.086614173,0,3.149606299,81.88976378,28.34645669,9.186351706,39.10761155
12.7,peat,976,771,855,0,0.275482094,4.683195592,2.754820937,4.407713499,6.887052342,0.826446281,5.785123967,0,1.377410468,1.101928375,0.826446281,0.275482094,1.101928375,0,0,1.652892562,8.815426997,0.275482094,0.275482094,0.550964187,12.9476584,0.550964187,0.275482094,17.07988981,0,0,2.479338843,0,10.46831956,0,5.509641873,0.826446281,5.509641873,0,2.479338843,79.06336088,6.336088154,19.00826446,37.74104683
22.86,peat,1609,1361,1472,0.269541779,0,1.886792453,3.504043127,2.69541779,4.851752022,1.078167116,5.121293801,0,0.269541779,1.078167116,0.808625337,0.539083558,0.808625337,0,0,1.347708895,7.547169811,0.808625337,0.269541779,2.69541779,14.01617251,1.347708895,0.808625337,18.05929919,0,0,4.851752022,0.269541779,15.63342318,0.539083558,4.312668464,0.808625337,2.69541779,0,1.078167116,77.35849057,4.312668464,21.29380054,33.69272237
33.02,peat,2259,1935,2048,0.164473684,1.315789474,2.796052632,1.973684211,0.986842105,8.388157895,2.467105263,5.921052632,0,0,3.453947368,0.822368421,0.822368421,0,0,0.164473684,1.315789474,10.36184211,0.986842105,0,0.822368421,10.36184211,0.328947368,1.644736842,25.49342105,0,0,0,0,8.552631579,0.164473684,4.605263158,0.328947368,4.934210526,0,0.822368421,82.56578947,1.315789474,15.95394737,47.69736842
43.18,peat,2892,2532,2623,0,1.138952164,1.138952164,1.366742597,1.138952164,4.555808656,1.59453303,8.200455581,0,0,4.10022779,0.683371298,0.683371298,0.227790433,0,0,1.59453303,11.16173121,2.505694761,0.455580866,0.455580866,9.567198178,1.366742597,0.683371298,22.77904328,0.455580866,0,0.911161731,0.455580866,12.75626424,0.227790433,4.328018223,0.227790433,3.872437358,0,1.366742597,77.44874715,2.505694761,14.35079727,40.77448747
53.34,peat,3527,3110,3208,0,0.843881857,2.320675105,1.265822785,1.898734177,8.64978903,0.843881857,6.962025316,0,1.687763713,2.109704641,0.210970464,1.476793249,0.210970464,0,0,1.265822785,13.71308017,0.843881857,0,0.421940928,6.751054852,0.210970464,3.797468354,18.77637131,0,0,1.054852321,0,16.24472574,0,3.58649789,0.421940928,3.797468354,0,0.632911392,72.78481013,3.797468354,10.75949367,40.50632911
63.5,peat,4162,3692,3771,0,0.307692308,0.615384615,0.923076923,1.230769231,3.692307692,1.538461538,7.384615385,0,1.846153846,4.307692308,0,1.230769231,0.307692308,0,0,1.230769231,15.38461538,0.307692308,0.615384615,1.846153846,11.38461538,0.923076923,0.307692308,27.38461538,0,0,0,0,10.15384615,0.615384615,1.846153846,0,3.692307692,0,0.923076923,81.84615385,4,15.07692308,43.07692308
73.66,peat,4798,4272,4342,0,1.572327044,1.886792453,0.943396226,0.943396226,6.289308176,1.572327044,8.176100629,0,0.628930818,2.830188679,0,0.628930818,0,0,0,1.886792453,11.63522013,0.628930818,0,0.314465409,7.232704403,0,0.628930818,28.93081761,0,0,0,0,14.46540881,0,2.51572327,0,5.660377358,0,0.628930818,77.35849057,1.572327044,10.06289308,49.05660377
83.82,peat,5428,4859,4966,0,0.722891566,1.686746988,2.891566265,0.722891566,8.43373494,0.963855422,8.192771084,0,0.963855422,3.855421687,1.686746988,3.373493976,0,0,0.240963855,1.686746988,0,2.409638554,0.722891566,0.481927711,5.78313253,0.481927711,2.891566265,21.20481928,0,0,1.445783133,0.963855422,12.53012048,0,9.156626506,0.963855422,3.614457831,0,1.927710843,74.93975904,2.168674699,15.42168675,45.54216867
93.98,peat,6071,5442,5560,0,0.530503979,4.774535809,1.326259947,0.265251989,8.75331565,0.530503979,8.75331565,0,1.061007958,0.265251989,1.591511936,1.061007958,0,0,0.265251989,1.061007958,13.79310345,4.50928382,0.530503979,0.530503979,5.835543767,0.530503979,2.387267905,21.22015915,0,0,2.122015915,0.265251989,8.75331565,0,5.305039788,0.530503979,3.183023873,0,0.265251989,79.04509284,1.856763926,11.67108753,46.15384615
104.14,peat,6711,6015,6168,0,1.608579088,4.289544236,2.412868633,1.340482574,6.166219839,0.268096515,6.434316354,0,0.268096515,0.536193029,1.876675603,1.608579088,0.804289544,0,0,1.072386059,10.45576408,4.557640751,0,0,8.042895442,0.268096515,1.608579088,18.76675603,0,0,0,0,11.52815013,0.268096515,6.702412869,1.340482574,7.774798928,0,0,73.99463807,1.876675603,14.74530831,41.55495979
114.3,peat,7374,6597,6788,0,0.993377483,4.966887417,2.317880795,0.662251656,8.940397351,0.993377483,4.966887417,0,0.993377483,0.331125828,0.662251656,2.649006623,0,0,0,0.662251656,9.271523179,4.966887417,0,0,6.291390728,0,1.986754967,24.50331126,0,0,0.662251656,0,9.602649007,0.662251656,8.609271523,0.331125828,2.98013245,0,0.993377483,78.47682119,1.655629139,14.90066225,49.00662252
