depth,min,max,median,mean,Acer rubrum,Alnus,Ambrosia-type,Angiospermae undiff. (herbs),Apiaceae,Asteroideae undiff.,Betula,Carya,Castanea,Cyperaceae,Dryopteris-type,Fagus,Juglans nigra,Myriophyllum,Nyssa,Osmunda,Pinus,Plantago,Poaceae,Polygonum sensu lato,Quercus,Rubiaceae,Tilia,Tsuga,Ulmus,Unknown,Fraxinus nigra-type,Ostrya/Carpinus,Picea,Pteridium-type,Acer saccharum-type,Myrica,Nuphar,Sparganium-type,Artemisia,Liquidambar,Iva annua-type,Populus,Sagittaria,Platanus,Lemnoideae,Polypodiophyta undiff.,Potamogetonaceae,Corylus,Juglans cinerea,Rhamnaceae,Abies,Cupressaceae,Salix,Caprifoliaceae sensu lato,Ilex,Lycopodium-type,Thalictrum,Typha latifolia,Menyanthes trifoliata,Ranunculus,Anacardiaceae,Lamiaceae,Potentilla-type,Sanguisorba,Brasenia schreberi,Cornus,Isoëtes,Brassicaceae,Rumex,Larix,Selaginella,Shepherdia,Polygonaceae undiff.,Caryophyllaceae,Cichorioideae,Onagraceae,Spermatophyta undiff. (shrubs),Ericaceae,Campanulaceae,Amaranthaceae
15,13085,14698,14089,14044,1.557632399,0.31152648,6.230529595,1.557632399,0.31152648,0.934579439,2.492211838,4.361370717,1.557632399,5.607476636,0.62305296,0.62305296,0.934579439,0.31152648,0.934579439,1.557632399,17.75700935,0.62305296,2.180685358,0.31152648,43.30218069,3.738317757,0.31152648,0.934579439,0.62305296,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13119,14719,14112,14069,1.510574018,0.302114804,2.416918429,4.229607251,0,0,0.604229607,3.32326284,2.416918429,7.552870091,0,0,0,0.302114804,0.906344411,0.302114804,17.52265861,0,2.719033233,0.302114804,46.82779456,4.531722054,0,1.812688822,0.302114804,0.302114804,0.906344411,0.302114804,0.302114804,0.302114804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13144,14747,14137,14094,0.900900901,0.3003003,1.201201201,4.204204204,0,0.3003003,0.3003003,2.402402402,4.804804805,11.41141141,0,0.600600601,0.3003003,0,0,0.3003003,17.41741742,0.3003003,2.702702703,0.3003003,42.34234234,4.204204204,0,0.600600601,0,0.600600601,0.3003003,1.801801802,0,0.900900901,0.3003003,0.600600601,0.3003003,0.3003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,13187,14803,14190,14145,1.246105919,0.934579439,0.31152648,0.62305296,0,0.934579439,1.246105919,1.557632399,5.919003115,8.411214953,0,0.62305296,0.31152648,0,0.31152648,0.31152648,14.95327103,0,6.230529595,0,45.48286604,5.295950156,0,0.934579439,0,0,0.934579439,1.246105919,0,0.31152648,0,1.246105919,0,0,0.31152648,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13244,14850,14238,14196,0.909090909,0.606060606,0.909090909,2.424242424,0,1.515151515,1.212121212,3.333333333,5.757575758,4.545454545,0.303030303,0,0.909090909,0,0,0.606060606,18.48484848,0,6.060606061,0.303030303,42.42424242,5.757575758,0,0.606060606,0.606060606,0,0,0.303030303,0,1.515151515,0,0,0,0,0,0,0.303030303,0.303030303,0.303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,13291,14901,14288,14246,0.625,1.25,0.625,0.3125,0,0.625,0.3125,4.0625,3.125,8.4375,0,0.3125,0.3125,0,0.3125,0,15.625,0,6.5625,0.3125,50,4.6875,0,0.3125,0.3125,0,0,0.3125,0,0.625,0.3125,0,0.3125,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,13314,14926,14312,14271,1.196172249,0.4784689,0.4784689,0,0,0,0.717703349,2.153110048,0.4784689,20.09569378,0.23923445,0.956937799,0,0,0.717703349,0,17.94258373,0,2.631578947,0.4784689,45.45454545,3.349282297,0,0.717703349,0,0.23923445,0.4784689,0.23923445,0,0.23923445,0,0,0,0,0,0,0,0.23923445,0.23923445,0.23923445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,13343,14952,14339,14297,2.077151335,0,0.296735905,0,0.59347181,0,0.59347181,1.78041543,4.154302671,13.64985163,0,0,0,0,0,0.296735905,20.17804154,0,5.341246291,0.890207715,37.09198813,8.902077151,0,0.890207715,0.59347181,0.296735905,0.296735905,0.59347181,0,0,0,0,0.890207715,0,0,0,0,0,0,0,0.296735905,0.296735905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,13394,14998,14391,14347,0.313479624,0.626959248,0.313479624,0,0.313479624,0.313479624,1.253918495,2.821316614,2.194357367,8.463949843,0,0.940438871,0,0,0.313479624,0,10.34482759,0,4.388714734,0.626959248,57.05329154,3.761755486,0,2.821316614,0,0,0.313479624,0.626959248,0,0.313479624,0.313479624,0,0.626959248,0.313479624,0,0,0,0,0.626959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,13418,15027,14416,14373,0.731707317,0.243902439,0.243902439,1.463414634,0.243902439,1.463414634,1.463414634,3.658536585,1.463414634,8.048780488,0.731707317,1.219512195,0,0,1.463414634,0.487804878,5.12195122,0,6.829268293,2.43902439,52.68292683,2.682926829,0,1.707317073,0.975609756,0.243902439,0,0.243902439,0,0.243902439,0,0,1.219512195,1.463414634,0,0.487804878,0,0,0,0.243902439,0.243902439,0,0.243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
